name	tier	score	campus	km	band	locality	email	website	phone	tato_cats	established	founded	size_check	notes
African Safari Travel	A	77	Kijenge	4.9	0-5 km	muriet	info@africansafari.travel	africansafari.travel	+255 794 080 599 | +34 611 902 467	TO/DMC/TREK/MAIN				
African Savannah Trekkers	A	77	Ilboru	2.3	0-5 km	goliondoi	info@africantrekkers.com	www.africantrekkers.com	+255 710 160 161	TO/DMC/TREK/MAIN				
African Tours and Safaris	A	77	Ilboru	2.3	0-5 km	arusha	info@african-tours.com	www.african-tours.com	+255 754 807 254	TO/DMC/TREK/MAIN				
AFRICANZOOM SAFARIS	A	77	Ilboru	2.3	0-5 km	arusha	info@africanzoom.com	www.africanzoom.com	+255 739 972218	TO/DMC/MAIN				
AGLOW SAFARIS	A	77	Ilboru	2.3	0-5 km	arusha	info@aglowsafaris.com	www.aglowsafaris.com	+255 783 560 450 | +255 679 494 537	TO/DMC/MAIN				
Akshar Tours and Safaris	A	77	Ilboru	2.6	0-5 km	nyerere	travel@akshartoursandsafaris.co.tz	akshartoursandsafaris.co.tz	+255 782 442044	TO/DMC/TREK/MAIN				
All day in Africa	A	77	Ilboru	2.3	0-5 km	arusha	info@alldayinafrica.com	www.alldayinafrica.com	+255 763 993 399 | +255 272 544 277	TO/DMC/MAIN				
Allengeti Adventures	A	77	Ilboru	2.3	0-5 km	arusha	info@allengetiadventures.co.tz	www.allengetiadventures.co.tz	+255 788 620 962 | +255 754 551 104	TO/DMC/TREK/MAIN				
Branded Africa Safaris & Trekking	A	77	Ilboru	2.3	0-5 km	arusha	info@brandedafricasafaris.com	www.brandedafricasafaris.com	+255 692 202 697	TO/DMC/MAIN				
Bush 2 City Adventure	A	77	Arusha City (Sakina)	0	0-5 km	sakina	info@bush2cityadventure.com	www.bush2cityadventure.com	+255 789 725 322	TO/DMC/MAIN				
Colours Africa Tours and Safaris	A	77	Ilboru	2.3	0-5 km	arusha	info@coloursafrica.com	coloursafrica.com	+255 620 556 753	TO/DMC/TREK/MAIN				
DaMona Tanzania Safaris	A	77	Ilboru	2.3	0-5 km	arusha	info@damonasafaris.com	www.damonasafaris.com	+255 762569759 | +255 769011229	TO/DMC/MAIN				
