record_type	source_path	source_location	source_url	source_date	acquired_on	verified_on	verification_status	evidence_basis	evidence_excerpt	notes	organisation_name	organisation_domain	segment	subtype	priority	campus	distance_km	radius_tier	geocode_precision	latitude	longitude	locality	address	website	public_email	public_phone	size_evidence	headcount	education_angle	founded	licence_class	osm_id	desk_tier	desk_score	transport_band	contact_name	role	role_certainty	contact_route	shared_email	published_role_email	named_email	organisation_phone	role_phone	profile_url	channel_attribution	enquiry_author	enquiry_type	enquiry_date	date_qualification	request	platform	contact_attribution	current_relevance	campus_fit	enquiry_phone	enquiry_email	relevance_reason	proposed_offer	cta_type	hook	hook_source_url	hook_verified_on	acquisition_track_id	value_module_ids	review_status	missing_information	lead_track	record_key	welfare_fit	care_model	pdpa_risk	pdpa_risk_reason	proposed_welfare_track	track_reason	priority_score	factors_known	children_served_published	children_served_as_of	age_range_published	gender_served	schooling_arrangement_published	runs_own_school	funding_model_published	registration_published	nis_reg_no	nis_reg_date	nis_profile_url	licence_status	operator_or_umbrella	religious_affiliation_published	services	known_funders_or_partners	foreign_charity_registrations	social_media	all_emails	all_phones	volunteer_programme	volunteer_fee_published	safeguarding_policy_url	staff_count_published	latest_activity_date	red_flags	catchment_note	master_organisation_id	nearest_primary_campus	distance_to_primary_km	all_sources_json	email_type	phone_type	author_type_stated	locality_text
contact		SOS Children's Villages Tanzania - Arusha	https://www.sos-tanzania.org/what-we-do/where-we-work/tanzania-mainland/arusha		2026-09-22	2026-09-22	verified	official	SOS Tanzania places its Arusha village at Ngaramtoni on the Namanga road; opened 2000; family strengthening added 2022.		SOS Children's Village Arusha	sos-childrensvillages.org										Arusha outskirts, about 13 km from the city centre on the Arusha–Nairobi highway															National Office, SOS Children's Villages Tanzania	confirmed	email		national.office@sos-tanzania.org		+25522270105575			Published by SOS Children's Villages Tanzania on its Arusha programme page and home page.																				research_only		welfare_customer	WCON_sos_children_village_arusha_national_office_sos_children			low	Role email at own domain and office landline.																							"[""national.office@sos-tanzania.org""]"	"[""+25522270105575""]"											"[{""url"": ""https://www.sos-tanzania.org/what-we-do/where-we-work/tanzania-mainland/arusha"", ""title"": ""SOS Children's Villages Tanzania - Arusha"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""location"", ""founded"", ""services"", ""phone"", ""email""], ""evidence_excerpt"": ""SOS Tanzania places its Arusha village at Ngaramtoni on the Namanga road; opened 2000; family strengthening added 2022.""}, {""url"": ""https://www.sos-tanzania.org/"", ""title"": ""SOS Children's Villages Tanzania"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""phone"", ""email"", ""address""], ""evidence_excerpt"": ""National office: 122 Mwai Kibaki Rd, P.O. Box 80462 Dar es Salaam; national.office@sos-tanzania.org; +255 22 27 01 055/75.""}]"	role	office		
contact		House Of Happiness - the orphanage	https://www.houseofhappiness.ch/en/house-of-happiness		2026-09-22	2026-09-22	verified	official	Home in Kisongo, Arumeru, opened September 2022 for almost 50 children aged 2-17; they walk about 30 minutes to a state school.		House of Happiness	houseofhappiness.ch										Kisongo															General enquiries (Swiss association)	confirmed	email		info@houseofhappiness.ch					Published by House of Happiness on its website.																				research_only		welfare_customer	WCON_house_of_happiness_general_enquiries			low	Generic role email at own domain.																							"[""info@houseofhappiness.ch""]"												"[{""url"": ""https://www.houseofhappiness.ch/en/house-of-happiness"", ""title"": ""House Of Happiness - the orphanage"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""location"", ""opened"", ""children_served"", ""age_range"", ""schooling"", ""staff"", ""email"", ""instagram""], ""evidence_excerpt"": ""Home in Kisongo, Arumeru, opened September 2022 for almost 50 children aged 2-17; they walk about 30 minutes to a state school.""}, {""url"": ""https://www.houseofhappiness.ch/en/organisation"", ""title"": ""House of Happiness - Organization"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""operator"", ""board"", ""coordinator"", ""email""], ""evidence_excerpt"": ""Swiss association in Reigoldswil, in the Basel-Landschaft commercial register; volunteer board and a local coordinator in Arusha.""}]"	role	unknown		
contact		House of Happiness - Organization	https://www.houseofhappiness.ch/en/organisation		2026-09-22	2026-09-22	verified	official	Swiss association in Reigoldswil, in the Basel-Landschaft commercial register; volunteer board and a local coordinator in Arusha.		House of Happiness	houseofhappiness.ch										Kisongo														Nicole Di Venere	Initiator and President (Swiss association)	confirmed	website							Named on the organisation page; reachable via info@houseofhappiness.ch.																				research_only		welfare_customer	WCON_house_of_happiness_nicole_di_venere			medium	Named individual in a professional role as published by the organisation.																																			"[{""url"": ""https://www.houseofhappiness.ch/en/organisation"", ""title"": ""House of Happiness - Organization"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""operator"", ""board"", ""coordinator"", ""email""], ""evidence_excerpt"": ""Swiss association in Reigoldswil, in the Basel-Landschaft commercial register; volunteer board and a local coordinator in Arusha.""}]"	role	unknown		
contact		House of Happiness - Organization	https://www.houseofhappiness.ch/en/organisation		2026-09-22	2026-09-22	verified	official	Swiss association in Reigoldswil, in the Basel-Landschaft commercial register; volunteer board and a local coordinator in Arusha.		House of Happiness	houseofhappiness.ch										Kisongo														Mohamed Kassim Seramka	Local coordinator in Arusha (volunteer)	confirmed	website							Named on the organisation page and home page as coordinator in Arusha; no direct route published.																				research_only		welfare_customer	WCON_house_of_happiness_mohamed_kassim_seramka			medium	Named individual in a professional role as published by the organisation.																																			"[{""url"": ""https://www.houseofhappiness.ch/en/organisation"", ""title"": ""House of Happiness - Organization"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""operator"", ""board"", ""coordinator"", ""email""], ""evidence_excerpt"": ""Swiss association in Reigoldswil, in the Basel-Landschaft commercial register; volunteer board and a local coordinator in Arusha.""}, {""url"": ""https://www.houseofhappiness.ch/en"", ""title"": ""House of Happiness - Home"", ""source_date"": ""2026-09-06"", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""latest_activity"", ""registration_claim""], ""evidence_excerpt"": ""Latest blog post 'Team spirit' dated 06.09.2026; site says the home is officially registered as an orphanage in Arusha.""}]"	role	unknown		
contact		Living Water Children's Centre	https://www.livingwaterchildrencentre.org/		2026-09-22	2026-09-22	needs_review	official	Kisongo-based centre; contact watoto04@gmail.com and three +255 numbers; partners listed as LWCF, Partnerschaft fuer Afrika, Time2Help.		Living Water Children Centre	livingwaterchildrencentre.org										Kisongo															General contact	confirmed	email	watoto04@gmail.com				+255692782111		Published on every page of the centre's website.																				research_only		welfare_customer	WCON_living_water_children_centre_general_contact			medium	Organisation-published gmail and mobile lines.																							"[""watoto04@gmail.com""]"	"[""+255692782111"", ""+255715720917"", ""+255718200083""]"											"[{""url"": ""https://www.livingwaterchildrencentre.org/"", ""title"": ""Living Water Children's Centre"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""location"", ""email"", ""phone"", ""social_media"", ""partners""], ""evidence_excerpt"": ""Kisongo-based centre; contact watoto04@gmail.com and three +255 numbers; partners listed as LWCF, Partnerschaft fuer Afrika, Time2Help.""}, {""url"": ""https://www.livingwaterchildrencentre.org/volunteer"", ""title"": ""Volunteer - Living Water Children Centre"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""volunteer_programme""], ""evidence_excerpt"": ""Volunteer enquiry form; no fees, duration or safeguarding requirements published.""}]"	shared	mobile		
contact		Habashabi Orphanage Arusha	https://habashabiorphanage.wixsite.com/arusha		2026-09-22	2026-09-22	needs_review	official	Kisongo home founded November 2015; 10 children (5 boys, 5 girls); relies entirely on donations.		Habashabi Orphanage Centre											Kisongo														Mama Lethicia	Founder (as published)	confirmed	email	habashabiorphanage@gmail.com						Founder named on home page; shared gmail published on contact page.																				research_only		welfare_customer	WCON_habashabi_orphanage_centre_mama_lethicia			risky	Named individual on a personal email domain (habashabiorphanage@gmail.com); rubric sets risky.																							"[""habashabiorphanage@gmail.com""]"												"[{""url"": ""https://habashabiorphanage.wixsite.com/arusha"", ""title"": ""Habashabi Orphanage Arusha"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""location"", ""founded"", ""children_served"", ""funding"", ""email"", ""social_media""], ""evidence_excerpt"": ""Kisongo home founded November 2015; 10 children (5 boys, 5 girls); relies entirely on donations.""}, {""url"": ""https://habashabiorphanage.wixsite.com/arusha/contact"", ""title"": ""Contact - Habashabi Orphanage"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""email"", ""address"", ""social_media""], ""evidence_excerpt"": ""Contact by email habashabiorphanage@gmail.com; Kisongo, P.O. Box 2224 Arusha; Instagram and Facebook listed.""}]"	shared	unknown		
contact		Hope Center	http://hopecentertanzania.org/		2026-09-22	2026-09-22	needs_review	official	Ngaramtoni centre: 14 orphans housed, 42 vulnerable children helped in the community, nursery schooling for local children.		Hope Orphanage Center	hopecentertanzania.org										Ngaramtoni															General contact	confirmed	email	hopecentertz@gmail.com						Published on the centre's website.																				research_only		welfare_customer	WCON_hope_orphanage_centre_general_contact			medium	Organisational gmail address.																							"[""hopecentertz@gmail.com""]"												"[{""url"": ""http://hopecentertanzania.org/"", ""title"": ""Hope Center"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""location"", ""children_served"", ""services"", ""email"", ""social_media""], ""evidence_excerpt"": ""Ngaramtoni centre: 14 orphans housed, 42 vulnerable children helped in the community, nursery schooling for local children.""}, {""url"": ""http://hopecentertanzania.org/about"", ""title"": ""About - Hope Center"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""red_flag""], ""evidence_excerpt"": ""About page carries generic website-template text about two 'makers' instead of the organisation's own founders.""}]"	shared	unknown		
contact		Kontakt - Upendo Face	https://www.upendo-face.org/info/		2026-09-22	2026-09-22	verified	official	Lists the Tanzanian founder with a +255 mobile and the Swiss association founder with a WhatsApp number; emails obfuscated.		Upendo Face Orphanage	upendo-face.org										Machumba														Godfrey I Kivuyo	Founder of Upendo Face Orphanage; board member of the Swiss association	confirmed	phone					+255764832986		Published on the organisation's contact page (email obfuscated).																				research_only		welfare_customer	WCON_upendo_face_orphanage_godfrey_i_kivuyo			medium	Named individual's mobile published by the organisation as its contact line.																								"[""+255764832986""]"											"[{""url"": ""https://www.upendo-face.org/info/"", ""title"": ""Kontakt - Upendo Face"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""contacts""], ""evidence_excerpt"": ""Lists the Tanzanian founder with a +255 mobile and the Swiss association founder with a WhatsApp number; emails obfuscated.""}]"	named	mobile		
contact		Kontakt - Upendo Face	https://www.upendo-face.org/info/		2026-09-22	2026-09-22	verified	official	Lists the Tanzanian founder with a +255 mobile and the Swiss association founder with a WhatsApp number; emails obfuscated.		Upendo Face Orphanage	upendo-face.org										Machumba														Corinne Ulmann	Founder of the Swiss association and project representative	confirmed	phone					+41782326642		Published on the organisation's contact page (WhatsApp only; email obfuscated).																				research_only		welfare_customer	WCON_upendo_face_orphanage_corinne_ulmann			medium	Named individual's number published by the organisation as a contact line.																								"[""+41782326642""]"											"[{""url"": ""https://www.upendo-face.org/info/"", ""title"": ""Kontakt - Upendo Face"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""contacts""], ""evidence_excerpt"": ""Lists the Tanzanian founder with a +255 mobile and the Swiss association founder with a WhatsApp number; emails obfuscated.""}]"	named	whatsapp		
contact		Neema Village - A Baby Home, A Mothering Center, and A Widows Home	https://neemavillage.org/		2026-09-22	2026-09-22	verified	official	US 501(c)(3) with 17-member board; baby home, mothering centre, special-needs day rehab; info@neemavillage.org.		Neema Village Tanzania Inc											Waco, TX														Kim White	President	confirmed	website							Named on Neema Village home page; no direct route published.																				research_only		welfare_customer	WCON_neema_village_kim_white			medium	Named individual in a professional role as published by the organisation.																																			"[{""url"": ""https://neemavillage.org/"", ""title"": ""Neema Village - A Baby Home, A Mothering Center, and A Widows Home"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""services"", ""contacts"", ""registration"", ""social_media""], ""evidence_excerpt"": ""US 501(c)(3) with 17-member board; baby home, mothering centre, special-needs day rehab; info@neemavillage.org.""}]"	role	unknown		
contact		Contact - The Plaster House	https://www.theplasterhouse.org/contact		2026-09-22	2026-09-22	needs_review	official	Directions: 10.2 km from Sanawari junction towards Nairobi, right at Ngaramtoni police post sign, 2 km on dirt road.		Kafika House	kafikahouse.org										Arusha (HQ); further houses in Moshi (2024) and Karatu (2023)															General line	confirmed	phone					+255685838215		Published on The Plaster House contact page (emails obfuscated).																				research_only		welfare_customer	WCON_kafika_house_general_line			medium	Organisation-published mobile number.																								"[""+255685838215""]"											"[{""url"": ""https://www.theplasterhouse.org/contact"", ""title"": ""Contact - The Plaster House"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""location"", ""phone""], ""evidence_excerpt"": ""Directions: 10.2 km from Sanawari junction towards Nairobi, right at Ngaramtoni police post sign, 2 km on dirt road.""}]"	role	mobile		
contact		YWAM Arusha	https://ywamarusha.org/	2025-08-01	2026-09-22	2026-09-22	needs_review	official	Base site: ywamarusha@gmail.com, +255 754 562 899, +255 686 111 821; events listed to August 2025.	Base-level contact; no Tumaini-specific route published.	Tumaini House (YWAM Arusha Tumaini Children Ministry)	ywamarusha.org										unconfirmed (YWAM Arusha base)															YWAM Arusha base contact	confirmed	email	ywamarusha@gmail.com				+255686111821		Published on ywamarusha.org and ywam.org location page.																				research_only		welfare_customer	WCON_tumaini_house_ywam_arusha_base_contact			medium	Organisation-published gmail and mobile lines.																							"[""ywamarusha@gmail.com""]"	"[""+255686111821"", ""+255754562899""]"											"[{""url"": ""https://ywamarusha.org/"", ""title"": ""YWAM Arusha"", ""source_date"": ""2025-08"", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""email"", ""phones"", ""social_media"", ""latest_activity""], ""evidence_excerpt"": ""Base site: ywamarusha@gmail.com, +255 754 562 899, +255 686 111 821; events listed to August 2025.""}, {""url"": ""https://ywam.org/location/ywam-arusha/b-1045"", ""title"": ""YWAM Arusha - ywam.org"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""location"", ""ministries"", ""phones""], ""evidence_excerpt"": ""YWAM Arusha, P.O. Box 10295, at the foot of Mt Meru near KIA; ministries include Tumaini Children Ministry.""}]"	shared	mobile		
contact		Contact - Samaritan Village Orphanage	https://www.samaritanvillageorphanage.org/contact		2026-09-22	2026-09-22	verified	official	Tanzania: P.O. Box 1317 Arusha, 0754 507 376, samvillagetz@gmail.com; US: 530-300-4916, samaritanvo@gmail.com.		Samaritan Village Orphanage	samaritanvillageorphanage.org										Moshono														Josephat Asery Mmanyi	Director (Tanzania)	confirmed	email	samvillagetz@gmail.com				+255754507376		Published on the orphanage's contact page as the Tanzania contact; director role stated on About page.																				research_only		welfare_customer	WCON_samaritan_village_orphanage_josephat_asery_mmanyi			risky	Named individual on a personal email domain (samvillagetz@gmail.com); rubric sets risky.																							"[""samvillagetz@gmail.com""]"	"[""+255754507376""]"											"[{""url"": ""https://www.samaritanvillageorphanage.org/contact"", ""title"": ""Contact - Samaritan Village Orphanage"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""contacts""], ""evidence_excerpt"": ""Tanzania: P.O. Box 1317 Arusha, 0754 507 376, samvillagetz@gmail.com; US: 530-300-4916, samaritanvo@gmail.com.""}, {""url"": ""https://www.samaritanvillageorphanage.org/about-us"", ""title"": ""ABOUT US - Samaritan Village Orphanage"", ""source_date"": ""2025-01"", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""children_served"", ""school"", ""founded"", ""directors""], ""evidence_excerpt"": ""Over 70 children now; preschool with three classrooms opened January 2025; created 1992.""}]"	shared	mobile		
contact		About Us | Arusha Kids Trust	https://www.arushakidstrust.com/about-us		2026-09-22	2026-09-22	verified	official	SAO is in Leganga, about 25 km east of Arusha; trust ACNC-registered 2016, DGR status from June 2019.		Arusha Kids Trust	arushakidstrust.com										Australia (programme at Leganga, about 25 km east of Arusha)														Kathy Green	Founder; administrator and liaison officer	confirmed	email	arushakidstrust@gmail.com						Named on About page; shared gmail on contact page.																				research_only		welfare_customer	WCON_arusha_kids_kathy_green			risky	Named individual on a personal email domain (arushakidstrust@gmail.com); rubric sets risky.																							"[""arushakidstrust@gmail.com""]"												"[{""url"": ""https://www.arushakidstrust.com/about-us"", ""title"": ""About Us | Arusha Kids Trust"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""location"", ""registration"", ""founded""], ""evidence_excerpt"": ""SAO is in Leganga, about 25 km east of Arusha; trust ACNC-registered 2016, DGR status from June 2019.""}, {""url"": ""https://www.arushakidstrust.com/contact-us"", ""title"": ""Contact Us | Arusha Kids Trust"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""email"", ""address""], ""evidence_excerpt"": ""arushakidstrust@gmail.com; P.O. Box 1320, Rozelle NSW 2039, Australia.""}, {""url"": ""https://www.arushakidstrust.com/contact-us"", ""title"": ""Contact Us – Arusha Kids Trust"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""email"", ""postal address"", ""contact form""], ""evidence_excerpt"": ""arushakidstrust@gmail.com; P.O. Box 1320, Rozelle NSW 2039, Australia; contact form.""}, {""url"": ""https://www.arushakidstrust.com/about-us"", ""title"": ""About Us – Arusha Kids Trust"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""founded"", ""registration"", ""SAO location"", ""trustees""], ""evidence_excerpt"": ""Founded Sept 2014; NSW charity, ACNC-registered 2016, DGR June 2019; SAO at Leganga, about 25 km east of Arusha.""}]"	shared	unknown		
contact		Contact | Usa River Rehabilitation Center Tanzania	https://www.rehabilitation-center-tanzania.org/en/kontakt/?navid=658135658135		2026-09-22	2026-09-22	verified	official	Names Pastor Elisha Z. Masangwa as head; centre email and phones listed.	First number is the office landline; second is a mobile listed as the centre phone. | Contact page undated; confirm the role is current.	Usa River Rehabilitation and Training Centre (URRC)	rehabilitation-center-tanzania.org										Usa River														Pastor Elisha Z. Masangwa	Director / Head of centre	confirmed	email	info@urrc.org			+255272553427			URRC's own website (home and contact pages) names him as head and lists these centre routes.																				research_only		welfare_customer	WCON_usa_river_rehabilitation_and_training_centre_pastor_elis			medium	Named individual in professional role published by the organisation; routes are the centre's shared ones.																							"[""info@urrc.org""]"	"[""+255272553427"", ""+255752796205""]"											"[{""url"": ""https://www.rehabilitation-center-tanzania.org/en/kontakt/?navid=658135658135"", ""title"": ""Contact | Usa River Rehabilitation Center Tanzania"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""name"", ""role"", ""email"", ""phones""], ""evidence_excerpt"": ""Names Pastor Elisha Z. Masangwa as head; centre email and phones listed.""}, {""url"": ""https://www.rehabilitation-center-tanzania.org/en/kontakt/"", ""title"": ""Contact | Usa River Rehabilitation Center Tanzania"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""address"", ""email"", ""phone"", ""head"", ""support_association""], ""evidence_excerpt"": ""Contact page names the Head, P.O. Box 47 Usa River, info@urrc.org, +255 752 796205 and landline 027 255 3427.""}, {""url"": ""https://www.rehabilitation-center-tanzania.org/"", ""title"": ""Homepage | Usa River Rehabilitation Center Tanzania"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""partners"", ""phone"", ""social_media""], ""evidence_excerpt"": ""Homepage lists ELCT, Mission EineWelt, Leipziger Missionswerk, Rummelsberg and Förderverein URRC; phone +255 27 255 34 27.""}]"	shared	office		
contact		About Tumaini | Tumaini Means Hope	https://tumainimeanshope.org/about-tumaini/		2026-09-22	2026-09-22	verified	official	Names Oddo Ndonde as co-Executive Director based in Tanzania.		Tumaini Children's Foundation	tumainimeanshope.org										Usa River; home reported moved to Nshupu (up Mt Meru)														Oddo Ndonde	Co-Executive Director (Tanzania)	confirmed	website							Tumaini's own About page names him; no personal route published (use Tanzania office line +255 754 829 582 / PO Box 344 Usa River).																				research_only		welfare_customer	WCON_tumaini_children_foundation_oddo_ndonde			medium	Named individual in professional role published by the organisation.																																			"[{""url"": ""https://tumainimeanshope.org/about-tumaini/"", ""title"": ""About Tumaini | Tumaini Means Hope"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""name"", ""role""], ""evidence_excerpt"": ""Names Oddo Ndonde as co-Executive Director based in Tanzania.""}]"				
contact		About Tumaini | Tumaini Means Hope	https://tumainimeanshope.org/about-tumaini/		2026-09-22	2026-09-22	verified	official	Contact block lists Leslie's email at the org domain and a Canadian phone.		Tumaini Children's Foundation	tumainimeanshope.org										Usa River; home reported moved to Nshupu (up Mt Meru)														Leslie (surname not published)	Contact (role not stated)	unknown	email			leslie@tumainimeanshope.org	+15197546589			Tumaini website contact block (Canada).																				research_only		welfare_customer	WCON_tumaini_children_foundation_leslie			medium	Named work email at the organisation's domain.																							"[""leslie@tumainimeanshope.org""]"	"[""+15197546589""]"											"[{""url"": ""https://tumainimeanshope.org/about-tumaini/"", ""title"": ""About Tumaini | Tumaini Means Hope"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""email"", ""phone""], ""evidence_excerpt"": ""Contact block lists Leslie's email at the org domain and a Canadian phone.""}]"	named	office		
contact		About :: littlesoulsoftz.org	https://www.littlesoulsoftz.org/about-us/		2026-09-22	2026-09-22	verified	official	Vincent Kinga created Enyorata and serves as on-site director.		Enyorata Children's Home											Maji ya Chai / Kitefu (about 5 km off Arusha-Moshi road)														Vincent Kinga	Founder and on-site director; founder of Enyorata Pre & Primary School	confirmed	website							Named by Little Souls of Tanzania and GoFundMe school pages; no direct route published (use Little Souls routes).																				research_only		welfare_customer	WCON_enyorata_children_home_vincent_kinga			medium	Named individual in professional role as published by the supporting charity.																																			"[{""url"": ""https://www.littlesoulsoftz.org/about-us/"", ""title"": ""About :: littlesoulsoftz.org"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""name"", ""role""], ""evidence_excerpt"": ""Vincent Kinga created Enyorata and serves as on-site director.""}, {""url"": ""https://www.gofundme.com/f/Enyorata-pre-and-primary-school-Tanzania"", ""title"": ""Enyorata Pre and Primary School - GoFundMe"", ""source_date"": ""2022-09-15"", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""public_post"", ""fetched"": true, ""facts_supported"": [""role""], ""evidence_excerpt"": ""Founder runs the Enyorata school and orphanage.""}]"				
contact		Little Souls of Tanzania	https://www.littlesoulsoftz.org/		2026-09-22	2026-09-22	verified	official	Contact phone 303-748-4099 (Tracy Curran); email littlesoulsoftanzania@gmail.com.		Little Souls of Tanzania											Lakewood, CO (supports Maji ya Chai home)														Tracy Curran	Co-founder (US)	confirmed	email	littlesoulsoftanzania@gmail.com				+13037484099		Little Souls website contact section attributes the phone to her.																				research_only		welfare_customer	WCON_little_souls_of_tracy_curran			risky	Named individual on a personal email domain (littlesoulsoftanzania@gmail.com); rubric sets risky.																							"[""littlesoulsoftanzania@gmail.com""]"	"[""+13037484099""]"											"[{""url"": ""https://www.littlesoulsoftz.org/"", ""title"": ""Little Souls of Tanzania"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""name"", ""role"", ""phone"", ""email""], ""evidence_excerpt"": ""Contact phone 303-748-4099 (Tracy Curran); email littlesoulsoftanzania@gmail.com.""}]"	shared	unknown		
contact		Contact - Havilah Children's Village	https://havilahvillage.weebly.com/contact.html		2026-09-22	2026-09-22	needs_review	official	Tanzania directors Fred and Naomi, phones 0783 942 998 and 0687 521 101.		Havilah Children's Village											Ngongongare village, University of Arusha campus, Usa River														Fred & Naomi (surnames not published)	Tanzania directors (since Nov 2012)	unknown	phone					+255687521101		Havilah site contact page (undated).																				research_only		welfare_customer	WCON_havilah_children_village_fred_and_naomi			medium	Named individuals' mobiles published by the organisation as contact lines; may be stale.																								"[""+255687521101"", ""+255783942998""]"											"[{""url"": ""https://havilahvillage.weebly.com/contact.html"", ""title"": ""Contact - Havilah Children's Village"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""names"", ""role"", ""phones""], ""evidence_excerpt"": ""Tanzania directors Fred and Naomi, phones 0783 942 998 and 0687 521 101.""}]"		mobile		
contact		Global Vessels	https://globalvessels.org/	2022-01-01	2026-09-22	2026-09-22	needs_review	official	Identifies Frazier and Virginia Mathis as leadership; contact globalvessels@aol.com.		Global Vessels	globalvessels.org										Fulton, Maryland, USA														Frazier & Virginia Mathis	Leadership / US directors of Havilah	confirmed	email	globalvessels@aol.com				+12024387325		Global Vessels website contact details; Havilah site names them as US directors.																				research_only		welfare_customer	WCON_global_vessels_frazier_and_virginia_mathis			risky	Named individual on a personal email domain (globalvessels@aol.com); rubric sets risky.																							"[""globalvessels@aol.com""]"	"[""+12024387325"", ""+12403554638""]"											"[{""url"": ""https://globalvessels.org/"", ""title"": ""Global Vessels"", ""source_date"": ""2022"", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""names"", ""role"", ""email"", ""phones""], ""evidence_excerpt"": ""Identifies Frazier and Virginia Mathis as leadership; contact globalvessels@aol.com.""}, {""url"": ""https://havilahvillage.weebly.com/contact.html"", ""title"": ""Contact - Havilah Children's Village"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""role""], ""evidence_excerpt"": ""US directors lead mission groups through Global Vessels.""}]"	shared	unknown		
