from_organisation	to_organisation	relationship_type	from_key	to_key	from_in_master	verification_status	pdpa_risk	notes	sources
Child First Initiative (CFI)	Child First Baby Home	operates	WORG_child_first_initiative	WORG_child_first_initiative		verified	low		"[{""url"": ""https://givingsmiles.org/en/child-first-baby-home-2/"", ""title"": ""Child First Baby Home - Giving Smiles e.V."", ""source_date"": ""2025-10-08"", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""published"", ""fetched"": true, ""facts_supported"": [""relationship""], ""evidence_excerpt"": ""Operated by Child First Initiative, a Tanzanian NGO.""}]"
Cradle of Love Baby Home	Falco's Children Village (His Healing Hands Ministries, Karatu)	refers	WORG_cradle_of_love_baby_home			historical	low	Transfer on closure; receiving home is outside the 25 km catchment (Karatu).	"[{""url"": ""https://givingsmiles.org/wp-content/uploads/2026/08/Giving-Smiles_Jahresbericht-2024.pdf"", ""title"": ""Giving Smiles e.V. Jahresbericht 2024"", ""source_date"": ""2026-08"", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""relationship""], ""evidence_excerpt"": ""All children transferred on 3 April 2024 to Falco's Children Village in Karatu.""}]"
Little Souls of Tanzania	Enyorata Children's Home	funds	WORG_little_souls_of	WORG_enyorata_children_home		verified	low		"[{""url"": ""https://www.littlesoulsoftz.org/"", ""title"": ""Little Souls of Tanzania"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""relationship""], ""evidence_excerpt"": ""Little Souls is the only source of financial support for the home.""}]"
Miso Adventures	Enyorata Children's Home	funds		WORG_enyorata_children_home		needs_review	low	Corporate giving; amounts not stated.	"[{""url"": ""https://misoadventures.com/about-miso-adventures/"", ""title"": ""About Miso Adventures"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""published"", ""fetched"": true, ""facts_supported"": [""relationship""], ""evidence_excerpt"": ""Safari company supports Enyorata home as community giving-back.""}]"
Global Vessels	Havilah Children's Village	operates	WORG_global_vessels	WORG_havilah_children_village		needs_review	low	Also funds via sponsorships and mission trips.	"[{""url"": ""https://globalvessels.org/orphanage/"", ""title"": ""Havilah Children's Orphanage - Global Vessels"", ""source_date"": ""2022"", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""published"", ""fetched"": true, ""facts_supported"": [""relationship""], ""evidence_excerpt"": ""Orphanage operates under the Global Vessels umbrella.""}]"
Nkoaranga Lutheran Hospital	Nkoaranga Orphanage (Baby Home)	operates		WORG_nkoaranga_orphanage		needs_review	low		"[{""url"": ""https://www.nkoarangahospital.org/page-7.html"", ""title"": ""Nkoaranga Orphanage - Nkoaranga Lutheran Hospital"", ""source_date"": ""2019-10-15"", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""relationship""], ""evidence_excerpt"": ""Orphanage is owned by the Lutheran hospital.""}]"
The Small Things (TST)	Nkoaranga Orphanage (Baby Home)	funds	WORG_small_things	WORG_nkoaranga_orphanage		needs_review	low		"[{""url"": ""https://www.mightycause.com/organization/Thesmallthings"", ""title"": ""Support Small Things on Mightycause"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""directory"", ""fetched"": true, ""facts_supported"": [""relationship""], ""evidence_excerpt"": ""Programme locations: Nkoaranga Orphanage and Happy Family Children's Village.""}, {""url"": ""https://fathomaway.com/interview-the-small-things-tanzania-africa/"", ""title"": ""Fathom interview - The Small Things"", ""source_date"": ""2017-08-30"", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""published"", ""fetched"": true, ""facts_supported"": [""relationship""], ""evidence_excerpt"": ""Programmes support operations of Nkoaranga Orphanage.""}]"
The Small Things (TST)	Happy Family Children's Village	operates	WORG_small_things	WORG_happy_family_children_village		needs_review	low		"[{""url"": ""https://www.lift-the-lid.org/schools/tanzania/happy-family-childrens-village/"", ""title"": ""Happy Family Children's Village - Lift the Lid"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""published"", ""fetched"": true, ""facts_supported"": [""relationship""], ""evidence_excerpt"": ""Village operated by The Small Things since 2014.""}]"
Lift the Lid	Happy Family Children's Village	partners_with	WORG_lift_lid	WORG_happy_family_children_village		needs_review	low	Nature/amount of support not stated.	"[{""url"": ""https://www.lift-the-lid.org/schools/tanzania/happy-family-childrens-village/"", ""title"": ""Happy Family Children's Village - Lift the Lid"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""published"", ""fetched"": true, ""facts_supported"": [""relationship""], ""evidence_excerpt"": ""Listed among Lift the Lid partner schools in Tanzania.""}]"
Africa Hearts Desire (Volunteers Africa Heart's Desire Limited)	Nkoaranga Orphanage (Baby Home)	partners_with	WORG_africa_hearts_desire	WORG_nkoaranga_orphanage		needs_review	low	Paid volunteer placements.	"[{""url"": ""https://en.africaheartsdesire.com/nkoaranga-orphanage-baby-home"", ""title"": ""Nkoaranga Orphanage / Baby Home | AfricaHeartsDesire"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""published"", ""fetched"": true, ""facts_supported"": [""relationship"", ""fee""], ""evidence_excerpt"": ""Volunteer placements at the baby home at $200 per month.""}]"
Africa Hearts Desire (Volunteers Africa Heart's Desire Limited)	Afro Plan Foundation	partners_with	WORG_africa_hearts_desire	WORG_afroplan_foundation		needs_review	low	Paid volunteer placements.	"[{""url"": ""https://en.africaheartsdesire.com/afroplanfoundation"", ""title"": ""Afro Plan Foundation | AfricaHeartsDesire"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""published"", ""fetched"": true, ""facts_supported"": [""relationship""], ""evidence_excerpt"": ""AHD lists Afro Plan as a volunteer project and handles its contacts.""}]"
Foerderverein URRC e.V.	Usa River Rehabilitation and Training Centre (URRC)	funds	WORG_foerderverein_urrc	WORG_usa_river_rehabilitation_and_training_centre		verified	low		"[{""url"": ""https://www.urrc.de/"", ""title"": ""Foerderverein URRC e.V."", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""relationship""], ""evidence_excerpt"": ""German association supporting URRC's training, medical services and outreach.""}]"
Mission EineWelt	Usa River Rehabilitation and Training Centre (URRC)	funds		WORG_usa_river_rehabilitation_and_training_centre		verified	low	Donation channel (Germany).	"[{""url"": ""https://www.rehabilitation-center-tanzania.org/en/kontakt/?navid=658135658135"", ""title"": ""Contact | URRC"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""relationship""], ""evidence_excerpt"": ""Donations for URRC routed via Mission EineWelt, Neuendettelsau.""}]"
ELCT Meru Diocese	Usa River Rehabilitation and Training Centre (URRC)	operates		WORG_usa_river_rehabilitation_and_training_centre		verified	low		"[{""url"": ""https://www.rehabilitation-center-tanzania.org/en/das-urrc/"", ""title"": ""Das URRC"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""relationship""], ""evidence_excerpt"": ""URRC is an institution of the ELCT Meru Diocese.""}]"
Feuerkinder Project	Usa River Rehabilitation and Training Centre (URRC)	partners_with		WORG_usa_river_rehabilitation_and_training_centre		needs_review	low		"[{""url"": ""https://www.rehabilitation-center-tanzania.org/en/das-urrc/"", ""title"": ""Das URRC"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""relationship""], ""evidence_excerpt"": ""Feuerkinder Project listed among external partners.""}]"
Mesha's Village	Ngarasero Community Organization	funds	WORG_meshas_village	WORG_ngarasero_community		needs_review	low	US donor group; no website fetched.	"[{""url"": ""https://tanzaniainsight.com/20-vulnerable-children-in-usa-river-seek-education-sponsorship/"", ""title"": ""Tanzania Insight - 20 vulnerable children in Usa River seek education sponsorship"", ""source_date"": ""2026-09-09"", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""published"", ""fetched"": true, ""facts_supported"": [""relationship""], ""evidence_excerpt"": ""US donor group Mesha's Village sponsors about 75 children.""}]"
Rotary New Zealand World Community Service (RNZWCS Ltd) and NZ Rotary clubs	Laketatu Orphanage	funds		WORG_laketatu_orphanage		needs_review	low		"[{""url"": ""https://papamoarotaryclub.co.nz/laketatu-orphanage-usa-river-tanzania/"", ""title"": ""Laketatu Orphanage - Papamoa Rotary Club"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""published"", ""fetched"": true, ""facts_supported"": [""relationship""], ""evidence_excerpt"": ""NZ Rotary clubs and Rotary Foundation fund construction via RNZWCS Ltd.""}]"
Africa Amini Alama	KinderVilla Momella (Africa Amini Alama children's home)	operates	WORG_africa_amini_alama	WORG_kindervilla_momella		verified	low		"[{""url"": ""https://www.africaaminialama.com/projekte/soziales"", ""title"": ""Soziales - Africa Amini Alama"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""relationship""], ""evidence_excerpt"": ""AAA gives orphans a home at the KinderVilla in Momella.""}]"
The Foundation for Tomorrow (TFFT)	Nkoaranga Orphanage (Baby Home)	partners_with	WORG_foundation_for_tomorrow	WORG_nkoaranga_orphanage		historical	low		"[{""url"": ""http://www.debsphotographs.com/blog/2012/07/partner-orphanages-tanzania"", ""title"": ""partner orphanages | tanzania"", ""source_date"": ""2012-07-19"", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""public_post"", ""fetched"": true, ""facts_supported"": [""relationship""], ""evidence_excerpt"": ""Listed as a TFFT partner orphanage in 2012.""}]"
The Foundation for Tomorrow (TFFT)	Matonyak Children's Home	partners_with	WORG_foundation_for_tomorrow	WORG_matonyok_children_home		historical	low		"[{""url"": ""http://www.debsphotographs.com/blog/2012/07/partner-orphanages-tanzania"", ""title"": ""partner orphanages | tanzania"", ""source_date"": ""2012-07-19"", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""public_post"", ""fetched"": true, ""facts_supported"": [""relationship""], ""evidence_excerpt"": ""Listed as a TFFT partner orphanage in 2012.""}]"
The Foundation for Tomorrow (TFFT)	Seeway Tanzania	partners_with	WORG_foundation_for_tomorrow	WORG_seeway		historical	low		"[{""url"": ""http://www.debsphotographs.com/blog/2012/07/partner-orphanages-tanzania"", ""title"": ""partner orphanages | tanzania"", ""source_date"": ""2012-07-19"", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""public_post"", ""fetched"": true, ""facts_supported"": [""relationship""], ""evidence_excerpt"": ""Listed as a TFFT partner orphanage in 2012.""}]"
Tír na nÓg Children's Foundation	Kao La Amani Children's Village	operates	WORG_kao_la_amani_children_village	WORG_kao_la_amani_children_village		verified	low	Irish charity is the foreign arm/client for the village and school.	"[{""url"": ""https://tirnanogchildrensfoundation.com/"", ""title"": ""Tír na nÓg Children's Foundation – home"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""name"", ""founder"", ""school"", ""enrolment"", ""age_range"", ""scholarships"", ""email""], ""evidence_excerpt"": ""Runs Kao La Amani Pre and Primary School for up to 400 children aged 3–13, with meals, bus and scholarships.""}, {""url"": ""https://www.article-25.org/our-work/kao-la-amani-childrens-village"", ""title"": ""Kao La Amani Children's Village, Tanzania — Article 25"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""published"", ""fetched"": true, ""facts_supported"": [""location"", ""capacity"", ""care_model"", ""completion""], ""evidence_excerpt"": ""Boma Ng'ombe village for 60 children in six cottages, each with a live-in 'Mama'; completed March 2025.""}]"
Sun Partners	Kao La Amani Children's Village	funds		WORG_kao_la_amani_children_village		verified	low	Funding for school refurbishment.	"[{""url"": ""https://www.article-25.org/our-work/kao-la-amani-preschool-and-primary-school"", ""title"": ""Kao La Amani Preschool & Primary School — Article 25"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""published"", ""fetched"": true, ""facts_supported"": [""school"", ""enrolment"", ""community_children"", ""funders""], ""evidence_excerpt"": ""School serves about 235 pupils from the village and surrounding community; expansion to about 300; Sun Partners funding.""}]"
Article 25	Kao La Amani Children's Village	partners_with		WORG_kao_la_amani_children_village		verified	low	Architects for village and school.	"[{""url"": ""https://www.article-25.org/our-work/kao-la-amani-childrens-village"", ""title"": ""Kao La Amani Children's Village, Tanzania — Article 25"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""published"", ""fetched"": true, ""facts_supported"": [""location"", ""capacity"", ""care_model"", ""completion""], ""evidence_excerpt"": ""Boma Ng'ombe village for 60 children in six cottages, each with a live-in 'Mama'; completed March 2025.""}, {""url"": ""https://www.article-25.org/our-work/kao-la-amani-preschool-and-primary-school"", ""title"": ""Kao La Amani Preschool & Primary School — Article 25"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""published"", ""fetched"": true, ""facts_supported"": [""school"", ""enrolment"", ""community_children"", ""funders""], ""evidence_excerpt"": ""School serves about 235 pupils from the village and surrounding community; expansion to about 300; Sun Partners funding.""}]"
One Kind Act	Light in Africa Children's Homes	funds	WORG_one_kind_act	WORG_light_in_africa_children_home		verified	low	About £37,250 in grants 2015–2023 incl. school fees for 120+ children (2016).	"[{""url"": ""https://onekindact.org/charity/54"", ""title"": ""Light In Africa – One Kind Act grants"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""published"", ""fetched"": true, ""facts_supported"": [""funder"", ""grants"", ""school_fees""], ""evidence_excerpt"": ""Grants 2015–2023 incl. learning centre for disabled children and £2,500 school fees for 120+ children (Dec 2016).""}, {""url"": ""https://www.onekindact.org/charity/light-in-africa"", ""title"": ""Light In Africa – One Kind Act"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""published"", ""fetched"": true, ""facts_supported"": [""children_served"", ""school_fees"", ""funder"", ""location""], ""evidence_excerpt"": ""Well over 200 children at Tudor Village; school fees for about 120 children; girls' home in Mirerani.""}]"
Rosemary Project	Light in Africa Children's Homes	funds		WORG_light_in_africa_children_home		unverified	low	Snippet: £17,000 toward a house at Tudor House, Boma Ng'ombe (opened March 2011); site certificate error blocked fetch.	"[{""url"": ""http://www.rosemaryproject.com/"", ""title"": ""Rosemary Project (search snippet)"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""published"", ""fetched"": false, ""facts_supported"": [""funder"", ""location""], ""evidence_excerpt"": ""Snippet: helped finish a house at Light In Africa's 'Tudor House' orphanage at Boma N'gombe; opened March 2011.""}]"
Euromic	Light in Africa Children's Homes	funds		WORG_light_in_africa_children_home		verified	low	In-kind donation visit to Mererani homes, Aug 2023.	"[{""url"": ""https://www.euromic.com/acts-of-kindness/tanzania-act-of-kindness/"", ""title"": ""Tanzania Act of Kindness | Euromic"", ""source_date"": ""2023-08-20"", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""published"", ""fetched"": true, ""facts_supported"": [""children_served"", ""location"", ""in_kind_donation""], ""evidence_excerpt"": ""Corporate visit and donation to Light in Africa homes in Mererani: 148 children aged 6 months–16 across 5 homes.""}]"
The Faraji Foundation	Tuleeni Children's Home	funds	WORG_faraji_foundation	WORG_tuleeni_children_home		verified	low	US tax-deductible channel; >30% of new-home construction.	"[{""url"": ""https://tuleenihome.org/friends-of-tuleeni/"", ""title"": ""Friends of Tuleeni"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""funders""], ""evidence_excerpt"": ""Partners: Private Explorers (20% of income), Tuleeni Norge, The Faraji Foundation, Project Junior Foundation, Neema International.""}, {""url"": ""https://projects.propublica.org/nonprofits/organizations/461300200"", ""title"": ""The Faraji Foundation – ProPublica Nonprofit Explorer"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""registration""], ""evidence_excerpt"": ""501(c)(3) public foundation, Santa Rosa CA; exempt since Nov 2013; no Form 990 data shown.""}]"
Private Explorers	Tuleeni Children's Home	funds	WORG_private_explorers	WORG_tuleeni_children_home		needs_review	low	20% of income, as stated by Tuleeni.	"[{""url"": ""https://tuleenihome.org/friends-of-tuleeni/"", ""title"": ""Friends of Tuleeni"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""funders""], ""evidence_excerpt"": ""Partners: Private Explorers (20% of income), Tuleeni Norge, The Faraji Foundation, Project Junior Foundation, Neema International.""}]"
Tuleeni Norge (Friends of Tuleeni Children)	Tuleeni Children's Home	funds		WORG_tuleeni_children_home		verified	low	Norwegian support group since 2006.	"[{""url"": ""https://tuleenihome.org/friends-of-tuleeni/"", ""title"": ""Friends of Tuleeni"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""funders""], ""evidence_excerpt"": ""Partners: Private Explorers (20% of income), Tuleeni Norge, The Faraji Foundation, Project Junior Foundation, Neema International.""}]"
Project Junior Foundation	Tuleeni Children's Home	funds		WORG_tuleeni_children_home		verified	low	Dutch foundation (RSIN 859730906) supporting 14 children.	"[{""url"": ""https://tuleenihome.org/friends-of-tuleeni/"", ""title"": ""Friends of Tuleeni"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""funders""], ""evidence_excerpt"": ""Partners: Private Explorers (20% of income), Tuleeni Norge, The Faraji Foundation, Project Junior Foundation, Neema International.""}]"
Neema International	Tuleeni Children's Home	funds	WORG_neema_international	WORG_tuleeni_children_home		verified	low	Raised over 50% of orphanage construction funds.	"[{""url"": ""https://tuleenihome.org/friends-of-tuleeni/"", ""title"": ""Friends of Tuleeni"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""funders""], ""evidence_excerpt"": ""Partners: Private Explorers (20% of income), Tuleeni Norge, The Faraji Foundation, Project Junior Foundation, Neema International.""}]"
Portage Northern Interact Club	Tuleeni Children's Home	funds		WORG_tuleeni_children_home		verified	low	About $5,000 a year for school fees ('$2-gether for Tuleeni').	"[{""url"": ""https://tuleenihome.org/friends-of-tuleeni/"", ""title"": ""Friends of Tuleeni"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""funders""], ""evidence_excerpt"": ""Partners: Private Explorers (20% of income), Tuleeni Norge, The Faraji Foundation, Project Junior Foundation, Neema International.""}]"
Friends of Amani US Inc	Amani Centre for Street Children	funds	WORG_friends_of_amani_us	WORG_amani_centre_for_street_children		verified	low	EIN 27-3621599; 2024 revenue $825,314.	"[{""url"": ""https://projects.propublica.org/nonprofits/organizations/273621599"", ""title"": ""Friends Of Amani Us Inc – ProPublica Nonprofit Explorer"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""foreign_charity"", ""income""], ""evidence_excerpt"": ""EIN 27-3621599, Hooksett NH; 2024 revenue $825,314, expenses $687,158.""}, {""url"": ""https://www.amanikids.org/contact-us"", ""title"": ""Contact Us — Amanikids"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""address"", ""phone"", ""email"", ""registration""], ""evidence_excerpt"": ""PO Box 6515 Moshi; +(255) 752 220 637; info@amanikids.org; Tanzania no. 00NG0/RI/00266.""}]"
Friends of Amani (UK)	Amani Centre for Street Children	funds		WORG_amani_centre_for_street_children		verified	low	UK charity 1107618; income £77,984 (Oct 2025).	"[{""url"": ""https://ngoexplorer.org/charity/1107618"", ""title"": ""Friends of Amani (UK) | NGO Explorer"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""directory"", ""fetched"": true, ""facts_supported"": [""foreign_charity"", ""income""], ""evidence_excerpt"": ""UK charity 1107618 supports Amani Children's Home, Moshi; income £77,984 (Oct 2025).""}]"
Embrace Relief Foundation	Amani Centre for Street Children	funds		WORG_amani_centre_for_street_children		needs_review	low	Dormitory renovation with CORE Educational Services and Time To Help Foundation; year not stated.	"[{""url"": ""https://www.embracerelief.org/amani-orphanage-in-tanzania/"", ""title"": ""Amani Orphanage in Tanzania - Embrace Relief Foundation"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""published"", ""fetched"": true, ""facts_supported"": [""funder"", ""renovation""], ""evidence_excerpt"": ""Embrace Relief with CORE Educational Services and Time To Help Foundation renovated dormitories at Amani Children's Home, Moshi.""}]"
KITAA (Kilimanjaro International Tanzania Aid Agency)	Kitaa Hope Home	operates		WORG_kitaa_hope_home		verified	low	Home operates under KITAA's charitable status.	"[{""url"": ""https://www.hopehometrust.org.uk/childrenshome"", ""title"": ""Children's Home | Hope Home Trust"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""published"", ""fetched"": true, ""facts_supported"": [""founded"", ""founder"", ""operator"", ""facility""], ""evidence_excerpt"": ""Founded 2006; operates under KITAA; purpose-built home from 2012; nursery added 2014.""}]"
Hope Home Trust	Kitaa Hope Home	funds	WORG_hope_home	WORG_kitaa_hope_home		verified	low	Funds running costs, education for 20 children and transport.	"[{""url"": ""https://www.hopehometrust.org.uk/"", ""title"": ""Welcome | Hope Home Trust"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""published"", ""fetched"": true, ""facts_supported"": [""partner"", ""children_served"", ""fees""], ""evidence_excerpt"": ""Kitaa Hope Home in Moshi is the trust's partner; 30 residential and 50 daily preschool children; £3 a day per child.""}, {""url"": ""https://ngoexplorer.org/charity/1126415"", ""title"": ""Hope Home Trust | NGO Explorer"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""directory"", ""fetched"": true, ""facts_supported"": [""foreign_charity"", ""income""], ""evidence_excerpt"": ""UK charity 1126415 funds Kitaa Hope Children Home, Moshi; income £68,335 (Dec 2025).""}]"
Tanzania Volunteers Co. Ltd	Msamaria Centre for Street Children	partners_with		WORG_msamaria_centre_for_street_children		verified	low	Volunteer placement agency (Shanty Town, Moshi); also places at Upendo, Gabriella, BCC.	"[{""url"": ""https://tanzaniavolunteers.com/msamaria-center-for-street-children/"", ""title"": ""Msamaria Center for Street Children – Tanzania Volunteers"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""directory"", ""fetched"": true, ""facts_supported"": [""children_served"", ""volunteer_fee"", ""founded""], ""evidence_excerpt"": ""Supports 130+ children, about 70 resident, aged 3–18; founded 2007; volunteer fee USD 50 monthly in cash.""}, {""url"": ""https://tanzaniavolunteers.com/"", ""title"": ""Tanzania Volunteers"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""directory"", ""fetched"": true, ""facts_supported"": [""project_list""], ""evidence_excerpt"": ""Placement list incl. Upendo, Msamaria, Gabriella, BCC centres and Moshi juvenile detention centre.""}]"
ZARA Tanzania Charity	Moshi Kids Centre	operates	WORG_zara_charity	WORG_moshi_kids_centre		verified	low		"[{""url"": ""https://www.zaratanzaniacharity.org/"", ""title"": ""ZARA Tanzania Charity"", ""source_date"": ""2026-09-11"", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""founder"", ""founded"", ""address"", ""projects"", ""contacts"", ""latest_activity""], ""evidence_excerpt"": ""NGO founded 2009 to extend tourism benefits; runs Moshi Kids Centre and student sponsorship; Ghala Road, Pasua.""}, {""url"": ""https://tanzaniatimes.net/moshi-kids-center-where-childrens-current-wants-and-their-future-needs-get-solved-in-kilimanjaro/"", ""title"": ""Moshi Kids Center – Tanzania Times"", ""source_date"": ""2026-07-01"", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""published"", ""fetched"": true, ""facts_supported"": [""children_served"", ""coordinator"", ""funding"", ""address""], ""evidence_excerpt"": ""Zara Charity centre on Msasani Street has 70 children, up from 25; relies on tourism revenue.""}]"
ZARA Tanzania Charity	Kilimanjaro Orphanage Centre	partners_with	WORG_zara_charity	WORG_kilimanjaro_orphanage_centre		historical	low	Set-up collaboration described in a 2015 blog.	"[{""url"": ""https://thirdeyemom.com/2015/08/04/a-visit-to-the-kilimanjaro-orphanage-centre/"", ""title"": ""A visit to the Kilimanjaro Orphanage Centre - Thirdeyemom"", ""source_date"": ""2015-08-04"", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""published"", ""fetched"": true, ""facts_supported"": [""location"", ""founded"", ""children_served"", ""partner""], ""evidence_excerpt"": ""Pasua, behind Springlands Hotel; founded 2009; about 60 resident orphans; set up with Zara Charity.""}]"
Kilimanjaro Mission of Hope and Outreach (KMHO)	Upendo Children's Home	funds	WORG_kilimanjaro_mission_of_hope_and_outreach	WORG_upendo_children_home		verified	low	Child sponsorship $50/month.	"[{""url"": ""https://www.kmho.org/sponsorships/child/"", ""title"": ""Child Sponsorship - KMHO.org"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""published"", ""fetched"": true, ""facts_supported"": [""funder"", ""children_served"", ""operator""], ""evidence_excerpt"": ""Nuns in Moshi Diocese maintain Upendo Orphanage, about 30 children; sponsorship $50 a month to age 15.""}]"
Kilimanjaro Mission of Hope and Outreach (KMHO)	Rainbow Centre, Catholic Diocese of Moshi	funds	WORG_kilimanjaro_mission_of_hope_and_outreach	WORG_rainbow_centre_catholic_diocese_of_moshi		verified	low		"[{""url"": ""https://www.kmho.org/sponsorships/child/"", ""title"": ""Child Sponsorship - KMHO.org"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""published"", ""fetched"": true, ""facts_supported"": [""funder"", ""children_served"", ""operator""], ""evidence_excerpt"": ""Nuns in Moshi Diocese maintain Upendo Orphanage, about 30 children; sponsorship $50 a month to age 15.""}]"
UPENDO: One Kid at a Time	Upendo Children's Home	funds	WORG_upendo_one_kid_at_a_time	WORG_upendo_children_home		verified	low		"[{""url"": ""https://upendookat.com/about-us"", ""title"": ""About Us — UPENDO: One Kid at a Time"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""operator"", ""care_model"", ""founded""], ""evidence_excerpt"": ""Founded 2014; Upendo Orphanage (0–5) run by Sisters of the Precious Blood; OKAT Children's Home for ages 5+.""}]"
UPENDO: One Kid at a Time	OKAT Children's Home	operates	WORG_upendo_one_kid_at_a_time	WORG_okat_children_home		verified	low		"[{""url"": ""https://upendookat.com/about-us"", ""title"": ""About Us — UPENDO: One Kid at a Time"", ""source_date"": """", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""operator"", ""care_model"", ""founded""], ""evidence_excerpt"": ""Founded 2014; Upendo Orphanage (0–5) run by Sisters of the Precious Blood; OKAT Children's Home for ages 5+.""}, {""url"": ""https://upendookat.com/"", ""title"": ""UPENDO: One Kid at a Time"", ""source_date"": ""2026-01"", ""accessed_on"": ""2026-09-22"", ""evidence_basis"": ""official"", ""fetched"": true, ""facts_supported"": [""opened"", ""children_served"", ""latest_activity""], ""evidence_excerpt"": ""Children's home opened December 2022; 10 of 25 children fully sponsored as of Jan 2026.""}]"
