record_key	level	name	council	region	admin_district	core_council	population_2022	male_2022	female_2022	households_2022	avg_household_size_2022	census_source_location	lat	lon	geocode_precision	location_source	location_ref	location_note	campus	distance_km	transport_band	nearest_primary_campus	distance_to_primary_km	primary_band	campus_cluster	in_catchment	ward_score	ward_tier	rank_in_cluster	factors_known	score_factors
AU_ward_arusha-district-council_sokon-2	ward	Sokon II	Arusha District Council	Arusha	Arumeru	True	20213	9833	10380	5414	3.7	Table 2.3, PDF page 58 (printed page 32), row 23	-3.33972222	36.73588889	estimated	wikipedia	Sokon II, Arusha District	Wikipedia ward point, corroborated by the centre of 3 OpenStreetMap places listed under 'Sokon II' (spread 1.7 km) 1.4 km away.	Ilboru	4.9	0-5 km	Arusha City	8.4	6-10 km	Arusha (Sakina, Kijenge, Ilboru)	yes	47.5	P1	11	2 of 5	"{""population_2022_relative"": 25.0, ""transport_band"": 22.5, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_arusha-district-council_bwawani	ward	Bwawani	Arusha District Council	Arusha	Arumeru	True	14025	7001	7024	3505	4.0	Table 2.3, PDF page 58 (printed page 32), row 24	-3.5687545	36.8360544	estimated	osm_place	node/7798403843	OpenStreetMap hamlet 'Bwawani, Bwawani'; no Wikipedia ward point.	Usa River	22.9	21-25 km	Usa River	22.9	21-25 km	Usa River	yes	22.6	P3	12	2 of 5	"{""population_2022_relative"": 17.6, ""transport_band"": 5.0, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_arusha-district-council_nduruma	ward	Nduruma	Arusha District Council	Arusha	Arumeru	True	14490	7207	7283	3698	3.9	Table 2.3, PDF page 58 (printed page 32), row 25	-3.4806143	36.7927055	address	osm_ward_office	node/10827624377	The ward office as mapped in OpenStreetMap ('Ofisi Ya Kata Nduruma'; office name matches the ward inside the council's district).	Kijenge	14.2	11-15 km	Usa River	15.1	16-20 km	Arusha (Sakina, Kijenge, Ilboru)	yes	30.7	P2	34	2 of 5	"{""population_2022_relative"": 18.2, ""transport_band"": 12.5, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_arusha-district-council_mlangarini	ward	Mlangarini	Arusha District Council	Arusha	Arumeru	True	19291	9401	9890	5152	3.7	Table 2.3, PDF page 58 (printed page 32), row 26	-3.43361111	36.76833333	estimated	wikipedia	Mlangarini	Wikipedia ward point, corroborated by the centre of 3 OpenStreetMap places listed under 'Mlangarini' (spread 4.2 km) 1.9 km away.	Kijenge	8.5	6-10 km	Usa River	13.0	11-15 km	Arusha (Sakina, Kijenge, Ilboru)	yes	41.7	P1	18	2 of 5	"{""population_2022_relative"": 24.2, ""transport_band"": 17.5, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_arusha-district-council_kiutu	ward	Kiutu	Arusha District Council	Arusha	Arumeru	True	22874	10850	12024	6981	3.3	Table 2.3, PDF page 58 (printed page 32), row 27				none		No reference point found in Wikipedia, OpenStreetMap or the gazetteer.			unknown			unknown		unknown					
AU_ward_hai-district-council_machame-uroki	ward	Machame Uroki	Hai District Council	Kilimanjaro	Hai	True	9761	4856	4905	2646	3.7	Table 3.6, PDF page 70 (printed page 44), row 1	-3.2307	37.2049	estimated	wikipedia	Machame Uroki	Wikipedia ward point, corroborated by the centre of 3 OpenStreetMap places listed under 'Machame Uroki' (spread 2.7 km) 0.6 km away.	Boma Ngombe	13.7	11-15 km	Usa River	40.7	>25 km (outside catchment)	Boma Ng'ombe	yes	15.9	P4	28	2 of 5	"{""population_2022_relative"": 8.4, ""transport_band"": 7.5, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_hai-district-council_machame-magharibi	ward	Machame Magharibi	Hai District Council	Kilimanjaro	Hai	True	4827	2329	2498	1454	3.3	Table 3.6, PDF page 70 (printed page 44), row 2	-3.0525	37.2622	estimated	wikipedia	Machame Magharibi	Wikipedia ward point; no OpenStreetMap evidence to corroborate it.	Boma Ngombe	34.2	>25 km (outside catchment)	Usa River	56.3	>25 km (outside catchment)	Boma Ng'ombe	no					
AU_ward_hai-district-council_machame-kaskazini	ward	Machame Kaskazini	Hai District Council	Kilimanjaro	Hai	True	24151	11969	12182	6344	3.8	Table 3.6, PDF page 70 (printed page 44), row 3	-3.2	37.23305556	estimated	wikipedia	Machame Kaskazini	Wikipedia ward point; no OpenStreetMap evidence to corroborate it.	Boma Ngombe	18.3	16-20 km	Usa River	44.9	>25 km (outside catchment)	Boma Ng'ombe	yes	31.8	P2	4	2 of 5	"{""population_2022_relative"": 26.8, ""transport_band"": 5.0, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_hai-district-council_machame-mashariki	ward	Machame Mashariki	Hai District Council	Kilimanjaro	Hai	True	11985	5852	6133	3452	3.5	Table 3.6, PDF page 70 (printed page 44), row 4	-3.2082	37.2636	estimated	wikipedia	Machame Mashariki	Wikipedia ward point; no OpenStreetMap evidence to corroborate it.	Boma Ngombe	19.7	16-20 km	Usa River	47.7	>25 km (outside catchment)	Boma Ng'ombe	yes	18.7	P4	24	2 of 5	"{""population_2022_relative"": 13.7, ""transport_band"": 5.0, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_hai-district-council_machame-narumu	ward	Machame Narumu	Hai District Council	Kilimanjaro	Hai	True	11031	5331	5700	2846	3.9	Table 3.6, PDF page 70 (printed page 44), row 5	-3.267878	37.2425859	address	osm_ward_office	node/9392131139	The ward office as mapped in OpenStreetMap ('Narumu Ward Office'; reviewed link (links.json): Mapped as 'Narumu Ward Office' inside Hai District; Hai's census and official councillor list have one Narumu ward, 'Machame Narumu'.).	Boma Ngombe	13.7	11-15 km	Usa River	43.5	>25 km (outside catchment)	Boma Ng'ombe	yes	18.8	P4	23	2 of 5	"{""population_2022_relative"": 11.3, ""transport_band"": 7.5, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_hai-district-council_mnadani	ward	Mnadani	Hai District Council	Kilimanjaro	Hai	True	20327	10051	10276	5516	3.7	Table 3.6, PDF page 70 (printed page 44), row 6				none		No reference point found in Wikipedia, OpenStreetMap or the gazetteer.			unknown			unknown		unknown					
AU_ward_hai-district-council_weruweru	ward	Weruweru	Hai District Council	Kilimanjaro	Hai	True	9426	4817	4609	2531	3.7	Table 3.6, PDF page 70 (printed page 44), row 7	-3.4300875	37.2922588	estimated	osm_place	node/3867000602	OpenStreetMap village 'Weru Weru'; no Wikipedia ward point.	Boma Ngombe	20.1	21-25 km	Usa River	48.2	>25 km (outside catchment)	Boma Ng'ombe	yes	9.9	P4	35	2 of 5	"{""population_2022_relative"": 7.4, ""transport_band"": 2.5, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_hai-district-council_masama-magharibi	ward	Masama Magharibi	Hai District Council	Kilimanjaro	Hai	True	9646	4679	4967	2643	3.6	Table 3.6, PDF page 70 (printed page 44), row 8	-3.2167	37.1421	estimated	wikipedia	Masama Magharibi	Wikipedia ward point, corroborated by the centre of 3 OpenStreetMap places listed under 'Masama Magharibi' (spread 3.2 km) 0.5 km away.	Boma Ngombe	13.1	11-15 km	Usa River	35.1	>25 km (outside catchment)	Boma Ng'ombe	yes	15.7	P4	30	2 of 5	"{""population_2022_relative"": 8.2, ""transport_band"": 7.5, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_hai-district-council_masama-kati	ward	Masama Kati	Hai District Council	Kilimanjaro	Hai	True	10298	5033	5265	2857	3.6	Table 3.6, PDF page 70 (printed page 44), row 9	-3.212951	37.164316	estimated	osm_places_listed_under_ward_name	node/7579791016; node/7579791027	Centre of 2 OpenStreetMap places listed under 'Masama Kati' (spread 1.6 km); no Wikipedia ward point.	Boma Ngombe	13.8	11-15 km	Usa River	37.4	>25 km (outside catchment)	Boma Ng'ombe	yes	17.8	P4	25	2 of 5	"{""population_2022_relative"": 10.3, ""transport_band"": 7.5, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_hai-district-council_masama-mashariki	ward	Masama Mashariki	Hai District Council	Kilimanjaro	Hai	True	12904	6321	6583	3606	3.6	Table 3.6, PDF page 70 (printed page 44), row 10	-3.23305556	37.18305556	estimated	wikipedia	Masama Mashariki	Wikipedia ward point, corroborated by the centre of 7 OpenStreetMap places listed under 'Masama Mashariki' (spread 6.8 km) 1.2 km away.	Boma Ngombe	12.3	11-15 km	Usa River	38.4	>25 km (outside catchment)	Boma Ng'ombe	yes	23.0	P3	15	2 of 5	"{""population_2022_relative"": 15.5, ""transport_band"": 7.5, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_hai-district-council_masama-rundugai	ward	Masama Rundugai	Hai District Council	Kilimanjaro	Hai	True	16475	8339	8136	4125	4.0	Table 3.6, PDF page 70 (printed page 44), row 11	-3.4386	37.23111111	estimated	wikipedia	Masama Rundugai	Wikipedia ward point; no OpenStreetMap evidence to corroborate it.	Boma Ngombe	15.5	16-20 km	Usa River	41.7	>25 km (outside catchment)	Boma Ng'ombe	yes	25.8	P3	10	2 of 5	"{""population_2022_relative"": 20.8, ""transport_band"": 5.0, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_hai-district-council_kia	ward	KIA	Hai District Council	Kilimanjaro	Hai	True	12732	6096	6636	2968	4.3	Table 3.6, PDF page 70 (printed page 44), row 12	-3.453155	37.101793	estimated	osm_places_listed_under_ward_name	node/6321413391; node/7579808759	Centre of 2 OpenStreetMap places listed under 'Kia' (spread 3.7 km); no Wikipedia ward point.	Boma Ngombe	13.8	11-15 km	Usa River	28.3	>25 km (outside catchment)	Boma Ng'ombe	yes	22.2	P3	19	2 of 5	"{""population_2022_relative"": 14.7, ""transport_band"": 7.5, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_hai-district-council_muungano	ward	Muungano	Hai District Council	Kilimanjaro	Hai	True	19655	9127	10528	5080	3.9	Table 3.6, PDF page 70 (printed page 44), row 13				none		No reference point found in Wikipedia, OpenStreetMap or the gazetteer.			unknown			unknown		unknown					
AU_ward_hai-district-council_bondeni	ward	Bondeni	Hai District Council	Kilimanjaro	Hai	True	16182	7683	8499	4338	3.7	Table 3.6, PDF page 70 (printed page 44), row 14				none		No reference point found in Wikipedia, OpenStreetMap or the gazetteer.			unknown			unknown		unknown					
AU_ward_hai-district-council_bomangombe	ward	Bomang'ombe	Hai District Council	Kilimanjaro	Hai	True	17883	8305	9578	5511	3.2	Table 3.6, PDF page 70 (printed page 44), row 15	-3.3342091	37.1382785	estimated	osm_place	node/282588606	OpenStreetMap neighbourhood 'Boma Ng'ombe'; no Wikipedia ward point.	Boma Ngombe	0.0	0-5 km	Usa River	30.7	>25 km (outside catchment)	Boma Ng'ombe	yes	34.3	P2	1	2 of 5	"{""population_2022_relative"": 21.8, ""transport_band"": 12.5, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_hai-district-council_masama-kusini	ward	Masama Kusini	Hai District Council	Kilimanjaro	Hai	True	18524	9063	9461	4899	3.8	Table 3.6, PDF page 70 (printed page 44), row 16	-3.3137	37.1936	estimated	wikipedia	Masama Kusini	Wikipedia ward point; the weaker OpenStreetMap place 'Mungushi, Masama Kusini', listed under 'Masama Kusini' is 8.0 km away (see Review Queue).	Boma Ngombe	6.5	6-10 km	Usa River	37.1	>25 km (outside catchment)	Boma Ng'ombe	yes	32.9	P2	3	2 of 5	"{""population_2022_relative"": 22.9, ""transport_band"": 10.0, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_hai-district-council_romu	ward	Romu	Hai District Council	Kilimanjaro	Hai	True	15192	7372	7820	3938	3.9	Table 3.6, PDF page 70 (printed page 44), row 17				none		No reference point found in Wikipedia, OpenStreetMap or the gazetteer.			unknown			unknown		unknown					
AU_ward_longido-district-council_matale-a	ward	Matale A	Longido District Council	Arusha	Longido	False	8340	4189	4151	1796	4.6	Table 2.4, PDF page 59 (printed page 33), row 1				none		No reference point found in Wikipedia, OpenStreetMap or the gazetteer.			unknown			unknown		unknown					
AU_ward_longido-district-council_engarenaibor	ward	Engarenaibor	Longido District Council	Arusha	Longido	False	15227	7298	7929	3322	4.6	Table 2.4, PDF page 59 (printed page 33), row 2	-2.50527778	36.54555556	estimated	wikipedia	Engarenaibor	Wikipedia ward point; no OpenStreetMap evidence to corroborate it.	Ilboru	94.9	>25 km (outside catchment)	Arusha City	95.1	>25 km (outside catchment)	Arusha (Sakina, Kijenge, Ilboru)	no					
AU_ward_longido-district-council_mundarara	ward	Mundarara	Longido District Council	Arusha	Longido	False	11442	5757	5685	2852	4.0	Table 2.4, PDF page 59 (printed page 33), row 3	-2.64413889	36.41190833	estimated	wikipedia	Mundarara	Wikipedia ward point; no OpenStreetMap evidence to corroborate it.	Arusha City	83.5	>25 km (outside catchment)	Arusha City	83.5	>25 km (outside catchment)	Arusha (Sakina, Kijenge, Ilboru)	no					
AU_ward_longido-district-council_ketumbeine	ward	Ketumbeine	Longido District Council	Arusha	Longido	False	10203	5024	5179	2230	4.6	Table 2.4, PDF page 59 (printed page 33), row 4				none		No reference point found in Wikipedia, OpenStreetMap or the gazetteer.			unknown			unknown		unknown					
AU_ward_longido-district-council_elangatadapash	ward	Elang'atadapash	Longido District Council	Arusha	Longido	False	6528	2987	3541	1468	4.4	Table 2.4, PDF page 59 (printed page 33), row 5	-2.93375	36.2329	estimated	wikipedia	Elang'ata Dapash	Wikipedia ward point; no OpenStreetMap evidence to corroborate it.	Arusha City	66.6	>25 km (outside catchment)	Arusha City	66.6	>25 km (outside catchment)	Arusha (Sakina, Kijenge, Ilboru)	no					
AU_ward_longido-district-council_ilorienito	ward	Ilorienito	Longido District Council	Arusha	Longido	False	6932	3031	3901	1615	4.3	Table 2.4, PDF page 59 (printed page 33), row 6				none		No reference point found in Wikipedia, OpenStreetMap or the gazetteer.			unknown			unknown		unknown					
AU_ward_longido-district-council_gelai-meirugoi	ward	Gelai Meirugoi	Longido District Council	Arusha	Longido	False	12474	5720	6754	3051	4.1	Table 2.4, PDF page 59 (printed page 33), row 7	-2.71583333	36.04194444	estimated	wikipedia	Gelai Meirugoi	Wikipedia ward point; no OpenStreetMap evidence to corroborate it.	Arusha City	98.7	>25 km (outside catchment)	Arusha City	98.7	>25 km (outside catchment)	Arusha (Sakina, Kijenge, Ilboru)	no					
AU_ward_longido-district-council_gelai-lumbwa	ward	Gelai Lumbwa	Longido District Council	Arusha	Longido	False	9932	4621	5311	2190	4.5	Table 2.4, PDF page 59 (printed page 33), row 8	-2.53777778	36.18861111	estimated	wikipedia	Gelai Lumbwa	Wikipedia ward point; no OpenStreetMap evidence to corroborate it.	Arusha City	104.7	>25 km (outside catchment)	Arusha City	104.7	>25 km (outside catchment)	Arusha (Sakina, Kijenge, Ilboru)	no					
AU_ward_longido-district-council_noondoto	ward	Noondoto	Longido District Council	Arusha	Longido	False	5808	2738	3070	1342	4.3	Table 2.4, PDF page 59 (printed page 33), row 9				none		No reference point found in Wikipedia, OpenStreetMap or the gazetteer.			unknown			unknown		unknown					
AU_ward_longido-district-council_engikaret	ward	Engikaret	Longido District Council	Arusha	Longido	False	8298	3722	4576	1958	4.2	Table 2.4, PDF page 59 (printed page 33), row 10	-3.0078	36.6937	estimated	wikipedia	Engikaret	Wikipedia ward point; no OpenStreetMap evidence to corroborate it.	Ilboru	37.7	>25 km (outside catchment)	Arusha City	38.5	>25 km (outside catchment)	Arusha (Sakina, Kijenge, Ilboru)	no					
AU_ward_longido-district-council_kimokouwa	ward	Kimokouwa	Longido District Council	Arusha	Longido	False	14435	6933	7502	3548	4.1	Table 2.4, PDF page 59 (printed page 33), row 11	-2.6271	36.7256	estimated	wikipedia	Kimokouwa	Wikipedia ward point; no OpenStreetMap evidence to corroborate it.	Ilboru	80.1	>25 km (outside catchment)	Arusha City	81.0	>25 km (outside catchment)	Arusha (Sakina, Kijenge, Ilboru)	no					
AU_ward_longido-district-council_namanga	ward	Namanga	Longido District Council	Arusha	Longido	False	12340	5922	6418	4299	2.9	Table 2.4, PDF page 59 (printed page 33), row 12	-2.55	36.76666667	estimated	wikipedia	Namanga (Tanzanian ward)	Wikipedia ward point; no OpenStreetMap evidence to corroborate it.	Ilboru	89.0	>25 km (outside catchment)	Arusha City	90.0	>25 km (outside catchment)	Arusha (Sakina, Kijenge, Ilboru)	no					
AU_ward_longido-district-council_orbomba	ward	Orbomba	Longido District Council	Arusha	Longido	False	11060	5202	5858	2523	4.4	Table 2.4, PDF page 59 (printed page 33), row 13	-2.729	36.6912	estimated	wikipedia	Orbomba	Wikipedia ward point; no OpenStreetMap evidence to corroborate it.	Ilboru	68.7	>25 km (outside catchment)	Arusha City	69.4	>25 km (outside catchment)	Arusha (Sakina, Kijenge, Ilboru)	no					
AU_ward_longido-district-council_longido	ward	Longido	Longido District Council	Arusha	Longido	False	3948	1836	2112	1181	3.3	Table 2.4, PDF page 59 (printed page 33), row 14	-2.7325	36.69833333	estimated	wikipedia	Longido, Longido District	Wikipedia ward point; no OpenStreetMap evidence to corroborate it.	Ilboru	68.3	>25 km (outside catchment)	Arusha City	69.1	>25 km (outside catchment)	Arusha (Sakina, Kijenge, Ilboru)	no					
AU_ward_longido-district-council_tingatinga	ward	Tingatinga	Longido District Council	Arusha	Longido	False	8262	3629	4633	1946	4.2	Table 2.4, PDF page 59 (printed page 33), row 15				none		No reference point found in Wikipedia, OpenStreetMap or the gazetteer.			unknown			unknown		unknown					
AU_ward_longido-district-council_olmolog	ward	Olmolog	Longido District Council	Arusha	Longido	False	12536	5913	6623	2906	4.3	Table 2.4, PDF page 59 (printed page 33), row 16	-2.83256944	37.08568889	estimated	wikipedia	Olmolog	Wikipedia ward point; no OpenStreetMap evidence to corroborate it.	Boma Ngombe	56.1	>25 km (outside catchment)	Usa River	64.1	>25 km (outside catchment)	Boma Ng'ombe	no					
AU_ward_longido-district-council_kamwanga	ward	Kamwanga	Longido District Council	Arusha	Longido	False	13053	6190	6863	3060	4.3	Table 2.4, PDF page 59 (printed page 33), row 17	-2.8787	36.3658	estimated	wikipedia	Kamwanga	Wikipedia ward point; no OpenStreetMap evidence to corroborate it.	Arusha City	62.1	>25 km (outside catchment)	Arusha City	62.1	>25 km (outside catchment)	Arusha (Sakina, Kijenge, Ilboru)	no					
AU_ward_longido-district-council_sinya	ward	Sinya	Longido District Council	Arusha	Longido	False	5097	2175	2922	1190	4.3	Table 2.4, PDF page 59 (printed page 33), row 18				none		No reference point found in Wikipedia, OpenStreetMap or the gazetteer.			unknown			unknown		unknown					
AU_ward_meru-district-council_ngarenanyuki	ward	Ngarenanyuki	Meru District Council	Arusha	Arumeru	True	10078	4924	5154	2662	3.8	Table 2.2, PDF page 57 (printed page 31), row 1	-3.18762	36.836161	estimated	osm_places_listed_under_ward_name	node/3320906332; node/3320914258; node/7815949060; node/9107682566	Centre of 4 OpenStreetMap places listed under 'Ngarenanyuki' (spread 7.2 km); no Wikipedia ward point.	Usa River	19.9	16-20 km	Usa River	19.9	16-20 km	Usa River	yes	19.2	P4	15	2 of 5	"{""population_2022_relative"": 9.2, ""transport_band"": 10.0, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_meru-district-council_leguruki	ward	Leguruki	Meru District Council	Arusha	Arumeru	True	9528	4588	4940	2319	4.1	Table 2.2, PDF page 57 (printed page 31), row 2	-3.254101	36.9354463	estimated	osm_place	node/7815949057	OpenStreetMap village 'Leguruki'; no Wikipedia ward point.	Usa River	14.7	11-15 km	Usa River	14.7	11-15 km	Usa River	yes	22.6	P3	13	2 of 5	"{""population_2022_relative"": 7.6, ""transport_band"": 15.0, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_meru-district-council_kingori	ward	King'ori	Meru District Council	Arusha	Arumeru	True	13034	6246	6788	3343	3.9	Table 2.2, PDF page 57 (printed page 31), row 3	-3.3791975	37.0213818	estimated	osm_place	node/282573272	OpenStreetMap village 'Kingori'; no Wikipedia ward point.	Boma Ngombe	13.9	11-15 km	Usa River	17.6	16-20 km	Boma Ng'ombe	yes	28.3	P3	6	2 of 5	"{""population_2022_relative"": 15.8, ""transport_band"": 12.5, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_meru-district-council_maji-ya-chai	ward	Maji ya Chai	Meru District Council	Arusha	Arumeru	True	19779	9389	10390	5222	3.8	Table 2.2, PDF page 57 (printed page 31), row 4	-3.3455	36.89794444	estimated	wikipedia	Maji ya Chai	Wikipedia ward point, corroborated by the OpenStreetMap neighbourhood 'Maji ya  Chai, Maji ya Chai' 2.9 km away.	Usa River	4.4	0-5 km	Usa River	4.4	0-5 km	Usa River	yes	49.7	P1	3	2 of 5	"{""population_2022_relative"": 24.7, ""transport_band"": 25.0, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_meru-district-council_kikatiti	ward	Kikatiti	Meru District Council	Arusha	Arumeru	True	21611	10458	11153	5840	3.7	Table 2.2, PDF page 57 (printed page 31), row 5	-3.38918056	36.94512222	estimated	wikipedia	Kikatiti	Wikipedia ward point, corroborated by the OpenStreetMap village 'Kikatiti' 0.0 km away.	Usa River	9.5	6-10 km	Usa River	9.5	6-10 km	Usa River	yes	45.8	P1	4	2 of 5	"{""population_2022_relative"": 25.8, ""transport_band"": 20.0, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_meru-district-council_ngabobo	ward	Ngabobo	Meru District Council	Arusha	Arumeru	True	4184	2019	2165	983	4.3	Table 2.2, PDF page 57 (printed page 31), row 6	-3.1101884	36.9010014	estimated	osm_place	node/7815949063	OpenStreetMap village 'Ngabobo'; no Wikipedia ward point.	Usa River	28.6	>25 km (outside catchment)	Usa River	28.6	>25 km (outside catchment)	Usa River	no					
AU_ward_meru-district-council_uwiro	ward	Uwiro	Meru District Council	Arusha	Arumeru	True	11762	5792	5970	2947	4.0	Table 2.2, PDF page 57 (printed page 31), row 7				none		No reference point found in Wikipedia, OpenStreetMap or the gazetteer.			unknown			unknown		unknown					
AU_ward_meru-district-council_maruvango	ward	Maruvango	Meru District Council	Arusha	Arumeru	True	9796	4795	5001	2385	4.1	Table 2.2, PDF page 57 (printed page 31), row 8	-3.2554507	36.9860005	estimated	osm_place	node/7815949051	OpenStreetMap neighbourhood 'Maruvango, Leguruki'; no Wikipedia ward point.	Usa River	18.2	16-20 km	Usa River	18.2	16-20 km	Usa River	yes	18.7	P4	16	2 of 5	"{""population_2022_relative"": 8.7, ""transport_band"": 10.0, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_meru-district-council_malula	ward	Malula	Meru District Council	Arusha	Arumeru	True	12526	5979	6547	3422	3.7	Table 2.2, PDF page 57 (printed page 31), row 9	-3.3908749	37.0458552	estimated	osm_place	node/7237321671	OpenStreetMap village 'Malula'; no Wikipedia ward point.	Boma Ngombe	12.0	11-15 km	Usa River	20.5	21-25 km	Boma Ng'ombe	yes	24.5	P3	13	2 of 5	"{""population_2022_relative"": 14.5, ""transport_band"": 10.0, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_meru-district-council_imbaseni	ward	Imbaseni	Meru District Council	Arusha	Arumeru	True	29770	13938	15832	8777	3.4	Table 2.2, PDF page 57 (printed page 31), row 10	-3.3713475	36.8885441	estimated	osm_place	node/7815949035	OpenStreetMap neighbourhood 'Imbaseny, Maji ya Chai'; no Wikipedia ward point.	Usa River	2.9	0-5 km	Usa River	2.9	0-5 km	Usa River	yes	53.2	P1	2	2 of 5	"{""population_2022_relative"": 28.2, ""transport_band"": 25.0, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_meru-district-council_usariver	ward	Usariver	Meru District Council	Arusha	Arumeru	True	29938	14374	15564	9203	3.3	Table 2.2, PDF page 57 (printed page 31), row 11	-3.3713	36.8583	estimated	wikipedia	Usa River, Meru District, Arusha	Wikipedia ward point, corroborated by the OpenStreetMap town 'Usa River' 0.0 km away.	Usa River	0.9	0-5 km	Usa River	0.9	0-5 km	Usa River	yes	53.4	P1	1	2 of 5	"{""population_2022_relative"": 28.4, ""transport_band"": 25.0, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_meru-district-council_nkoaranga	ward	Nkoaranga	Meru District Council	Arusha	Arumeru	True	10229	5013	5216	2818	3.6	Table 2.2, PDF page 57 (printed page 31), row 12	-3.346253	36.83849	estimated	osm_places_listed_under_ward_name	node/7815949026; node/7815949032	Centre of 2 OpenStreetMap places listed under 'Nkoaranga' (spread 2.1 km); no Wikipedia ward point.	Usa River	3.4	0-5 km	Usa River	3.4	0-5 km	Usa River	yes	34.7	P2	6	2 of 5	"{""population_2022_relative"": 9.7, ""transport_band"": 25.0, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_meru-district-council_poli	ward	Poli	Meru District Council	Arusha	Arumeru	True	11399	5530	5869	3378	3.4	Table 2.2, PDF page 57 (printed page 31), row 13	-3.3494181	36.7976951	estimated	osm_facility	way/665952183	Reviewed override (links.json): Agent decision 23 September 2026, for review: 'Poli Health Centre' (OpenStreetMap way/665952183, data/raw/government-research/osm_named_facilities_2026-09-23.json) lies inside the Meru district boundary, and no other council has a ward named Poli. No place node, ward office or Wikipedia article gives the ward a point.	Usa River	7.5	6-10 km	Usa River	7.5	6-10 km	Usa River	yes	31.8	P2	8	2 of 5	"{""population_2022_relative"": 11.8, ""transport_band"": 20.0, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_meru-district-council_seela-singisi	ward	Seela Sing'isi	Meru District Council	Arusha	Arumeru	True	11756	5746	6010	3485	3.4	Table 2.2, PDF page 57 (printed page 31), row 14	-3.3732	36.8062	estimated	wikipedia	Seela Sing'isi	Wikipedia ward point, corroborated by the OpenStreetMap place 'Singisi, Seela Sing Isi', listed under 'Seela Sing Isi' 1.4 km away.	Usa River	6.4	6-10 km	Usa River	6.4	6-10 km	Usa River	yes	32.9	P2	7	2 of 5	"{""population_2022_relative"": 12.9, ""transport_band"": 20.0, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
AU_ward_meru-district-council_akheri	ward	Akheri	Meru District Council	Arusha	Arumeru	True	17236	8241	8995	5291	3.3	Table 2.2, PDF page 57 (printed page 31), row 15	-3.363202	36.7762	estimated	osm_places_listed_under_ward_name	node/7495227352	OpenStreetMap place 'Patandi, AKheri', listed under 'AKheri'; no Wikipedia ward point.	Kijenge	7.7	6-10 km	Usa River	9.7	6-10 km	Arusha (Sakina, Kijenge, Ilboru)	yes	41.6	P1	20	2 of 5	"{""population_2022_relative"": 21.6, ""transport_band"": 20.0, ""access_readiness"": 0, ""convening_opportunity"": 0, ""observed_yield"": 0}"
