record_key	office_key	organisation_name	post_key	office_title	office_title_sw	appointment_type	holder_name	holder_verified_on	tenure_source_url	role_phone	published_role_email	b2g_check_required	pdpa_risk	verification_status	source_url
GPOST_ward-arusha-city-council-daraja-2_ward_executive_officer	GOFF_ward_arusha-city-council_daraja-2	Ofisi ya Kata ya Daraja II (Arusha City Council)	ward_executive_officer	Ward Executive Officer (WEO)	Afisa Mtendaji wa Kata	civil_service						no	low	needs_review	https://media.tanzlii.org/media/legislation/316204/source_file/77e1e9a6b6ecb9fb/1982-8.pdf
GPOST_ward-arusha-city-council-daraja-2_ward_councillor	GOFF_ward_arusha-city-council_daraja-2	Ofisi ya Kata ya Daraja II (Arusha City Council)	ward_councillor	Ward Councillor	Diwani wa Kata	elected						no	low	needs_review	https://media.tanzlii.org/media/legislation/316204/source_file/77e1e9a6b6ecb9fb/1982-8.pdf
GPOST_ward-arusha-city-council-daraja-2_ward_community_development_officer	GOFF_ward_arusha-city-council_daraja-2	Ofisi ya Kata ya Daraja II (Arusha City Council)	ward_community_development_officer	Ward Community Development Officer	Afisa Maendeleo ya Jamii wa Kata	civil_service						no	low	needs_review	https://media.tanzlii.org/media/legislation/316204/source_file/77e1e9a6b6ecb9fb/1982-8.pdf
GPOST_ward-arusha-city-council-unga-limited_ward_executive_officer	GOFF_ward_arusha-city-council_unga-limited	Ofisi ya Kata ya Unga Ltd (Arusha City Council)	ward_executive_officer	Ward Executive Officer (WEO)	Afisa Mtendaji wa Kata	civil_service						no	low	needs_review	https://media.tanzlii.org/media/legislation/316204/source_file/77e1e9a6b6ecb9fb/1982-8.pdf
GPOST_ward-arusha-city-council-unga-limited_ward_councillor	GOFF_ward_arusha-city-council_unga-limited	Ofisi ya Kata ya Unga Ltd (Arusha City Council)	ward_councillor	Ward Councillor	Diwani wa Kata	elected						no	low	needs_review	https://media.tanzlii.org/media/legislation/316204/source_file/77e1e9a6b6ecb9fb/1982-8.pdf
GPOST_ward-arusha-city-council-unga-limited_ward_community_development_officer	GOFF_ward_arusha-city-council_unga-limited	Ofisi ya Kata ya Unga Ltd (Arusha City Council)	ward_community_development_officer	Ward Community Development Officer	Afisa Maendeleo ya Jamii wa Kata	civil_service						no	low	needs_review	https://media.tanzlii.org/media/legislation/316204/source_file/77e1e9a6b6ecb9fb/1982-8.pdf
GPOST_ward-arusha-city-council-ngarenaro_ward_executive_officer	GOFF_ward_arusha-city-council_ngarenaro	Ofisi ya Kata ya Ngarenaro (Arusha City Council)	ward_executive_officer	Ward Executive Officer (WEO)	Afisa Mtendaji wa Kata	civil_service						no	low	needs_review	https://media.tanzlii.org/media/legislation/316204/source_file/77e1e9a6b6ecb9fb/1982-8.pdf
GPOST_ward-arusha-city-council-ngarenaro_ward_councillor	GOFF_ward_arusha-city-council_ngarenaro	Ofisi ya Kata ya Ngarenaro (Arusha City Council)	ward_councillor	Ward Councillor	Diwani wa Kata	elected						no	low	needs_review	https://media.tanzlii.org/media/legislation/316204/source_file/77e1e9a6b6ecb9fb/1982-8.pdf
GPOST_ward-arusha-city-council-ngarenaro_ward_community_development_officer	GOFF_ward_arusha-city-council_ngarenaro	Ofisi ya Kata ya Ngarenaro (Arusha City Council)	ward_community_development_officer	Ward Community Development Officer	Afisa Maendeleo ya Jamii wa Kata	civil_service						no	low	needs_review	https://media.tanzlii.org/media/legislation/316204/source_file/77e1e9a6b6ecb9fb/1982-8.pdf
GPOST_ward-arusha-city-council-levolosi_ward_executive_officer	GOFF_ward_arusha-city-council_levolosi	Ofisi ya Kata ya Levolosi (Arusha City Council)	ward_executive_officer	Ward Executive Officer (WEO)	Afisa Mtendaji wa Kata	civil_service						no	low	needs_review	https://media.tanzlii.org/media/legislation/316204/source_file/77e1e9a6b6ecb9fb/1982-8.pdf
GPOST_ward-arusha-city-council-levolosi_ward_councillor	GOFF_ward_arusha-city-council_levolosi	Ofisi ya Kata ya Levolosi (Arusha City Council)	ward_councillor	Ward Councillor	Diwani wa Kata	elected						no	low	needs_review	https://media.tanzlii.org/media/legislation/316204/source_file/77e1e9a6b6ecb9fb/1982-8.pdf
GPOST_ward-arusha-city-council-levolosi_ward_community_development_officer	GOFF_ward_arusha-city-council_levolosi	Ofisi ya Kata ya Levolosi (Arusha City Council)	ward_community_development_officer	Ward Community Development Officer	Afisa Maendeleo ya Jamii wa Kata	civil_service						no	low	needs_review	https://media.tanzlii.org/media/legislation/316204/source_file/77e1e9a6b6ecb9fb/1982-8.pdf
GPOST_ward-arusha-city-council-kimandolu_ward_executive_officer	GOFF_ward_arusha-city-council_kimandolu	Ofisi ya Kata ya Kimandolu (Arusha City Council)	ward_executive_officer	Ward Executive Officer (WEO)	Afisa Mtendaji wa Kata	civil_service						no	low	needs_review	https://media.tanzlii.org/media/legislation/316204/source_file/77e1e9a6b6ecb9fb/1982-8.pdf
GPOST_ward-arusha-city-council-kimandolu_ward_councillor	GOFF_ward_arusha-city-council_kimandolu	Ofisi ya Kata ya Kimandolu (Arusha City Council)	ward_councillor	Ward Councillor	Diwani wa Kata	elected						no	low	needs_review	https://media.tanzlii.org/media/legislation/316204/source_file/77e1e9a6b6ecb9fb/1982-8.pdf
GPOST_ward-arusha-city-council-kimandolu_ward_community_development_officer	GOFF_ward_arusha-city-council_kimandolu	Ofisi ya Kata ya Kimandolu (Arusha City Council)	ward_community_development_officer	Ward Community Development Officer	Afisa Maendeleo ya Jamii wa Kata	civil_service						no	low	needs_review	https://media.tanzlii.org/media/legislation/316204/source_file/77e1e9a6b6ecb9fb/1982-8.pdf
GPOST_ward-arusha-city-council-baraa_ward_executive_officer	GOFF_ward_arusha-city-council_baraa	Ofisi ya Kata ya Baraa (Arusha City Council)	ward_executive_officer	Ward Executive Officer (WEO)	Afisa Mtendaji wa Kata	civil_service						no	low	needs_review	https://media.tanzlii.org/media/legislation/316204/source_file/77e1e9a6b6ecb9fb/1982-8.pdf
GPOST_ward-arusha-city-council-baraa_ward_councillor	GOFF_ward_arusha-city-council_baraa	Ofisi ya Kata ya Baraa (Arusha City Council)	ward_councillor	Ward Councillor	Diwani wa Kata	elected						no	low	needs_review	https://media.tanzlii.org/media/legislation/316204/source_file/77e1e9a6b6ecb9fb/1982-8.pdf
GPOST_ward-arusha-city-council-baraa_ward_community_development_officer	GOFF_ward_arusha-city-council_baraa	Ofisi ya Kata ya Baraa (Arusha City Council)	ward_community_development_officer	Ward Community Development Officer	Afisa Maendeleo ya Jamii wa Kata	civil_service						no	low	needs_review	https://media.tanzlii.org/media/legislation/316204/source_file/77e1e9a6b6ecb9fb/1982-8.pdf
GPOST_ward-arusha-city-council-oloirien_ward_executive_officer	GOFF_ward_arusha-city-council_oloirien	Ofisi ya Kata ya Oloirien (Arusha City Council)	ward_executive_officer	Ward Executive Officer (WEO)	Afisa Mtendaji wa Kata	civil_service						no	low	needs_review	https://media.tanzlii.org/media/legislation/316204/source_file/77e1e9a6b6ecb9fb/1982-8.pdf
GPOST_ward-arusha-city-council-oloirien_ward_councillor	GOFF_ward_arusha-city-council_oloirien	Ofisi ya Kata ya Oloirien (Arusha City Council)	ward_councillor	Ward Councillor	Diwani wa Kata	elected						no	low	needs_review	https://media.tanzlii.org/media/legislation/316204/source_file/77e1e9a6b6ecb9fb/1982-8.pdf
GPOST_ward-arusha-city-council-oloirien_ward_community_development_officer	GOFF_ward_arusha-city-council_oloirien	Ofisi ya Kata ya Oloirien (Arusha City Council)	ward_community_development_officer	Ward Community Development Officer	Afisa Maendeleo ya Jamii wa Kata	civil_service						no	low	needs_review	https://media.tanzlii.org/media/legislation/316204/source_file/77e1e9a6b6ecb9fb/1982-8.pdf
GPOST_ward-arusha-city-council-moshono_ward_executive_officer	GOFF_ward_arusha-city-council_moshono	Ofisi ya Kata ya Moshono (Arusha City Council)	ward_executive_officer	Ward Executive Officer (WEO)	Afisa Mtendaji wa Kata	civil_service						no	low	needs_review	https://media.tanzlii.org/media/legislation/316204/source_file/77e1e9a6b6ecb9fb/1982-8.pdf
GPOST_ward-arusha-city-council-moshono_ward_councillor	GOFF_ward_arusha-city-council_moshono	Ofisi ya Kata ya Moshono (Arusha City Council)	ward_councillor	Ward Councillor	Diwani wa Kata	elected						no	low	needs_review	https://media.tanzlii.org/media/legislation/316204/source_file/77e1e9a6b6ecb9fb/1982-8.pdf
GPOST_ward-arusha-city-council-moshono_ward_community_development_officer	GOFF_ward_arusha-city-council_moshono	Ofisi ya Kata ya Moshono (Arusha City Council)	ward_community_development_officer	Ward Community Development Officer	Afisa Maendeleo ya Jamii wa Kata	civil_service						no	low	needs_review	https://media.tanzlii.org/media/legislation/316204/source_file/77e1e9a6b6ecb9fb/1982-8.pdf
GPOST_ward-arusha-city-council-moivaro_ward_executive_officer	GOFF_ward_arusha-city-council_moivaro	Ofisi ya Kata ya Moivaro (Arusha City Council)	ward_executive_officer	Ward Executive Officer (WEO)	Afisa Mtendaji wa Kata	civil_service						no	low	needs_review	https://media.tanzlii.org/media/legislation/316204/source_file/77e1e9a6b6ecb9fb/1982-8.pdf
GPOST_ward-arusha-city-council-moivaro_ward_councillor	GOFF_ward_arusha-city-council_moivaro	Ofisi ya Kata ya Moivaro (Arusha City Council)	ward_councillor	Ward Councillor	Diwani wa Kata	elected						no	low	needs_review	https://media.tanzlii.org/media/legislation/316204/source_file/77e1e9a6b6ecb9fb/1982-8.pdf
GPOST_ward-arusha-city-council-moivaro_ward_community_development_officer	GOFF_ward_arusha-city-council_moivaro	Ofisi ya Kata ya Moivaro (Arusha City Council)	ward_community_development_officer	Ward Community Development Officer	Afisa Maendeleo ya Jamii wa Kata	civil_service						no	low	needs_review	https://media.tanzlii.org/media/legislation/316204/source_file/77e1e9a6b6ecb9fb/1982-8.pdf
GPOST_ward-arusha-city-council-lemara_ward_executive_officer	GOFF_ward_arusha-city-council_lemara	Ofisi ya Kata ya Lemara (Arusha City Council)	ward_executive_officer	Ward Executive Officer (WEO)	Afisa Mtendaji wa Kata	civil_service						no	low	needs_review	https://media.tanzlii.org/media/legislation/316204/source_file/77e1e9a6b6ecb9fb/1982-8.pdf
GPOST_ward-arusha-city-council-lemara_ward_councillor	GOFF_ward_arusha-city-council_lemara	Ofisi ya Kata ya Lemara (Arusha City Council)	ward_councillor	Ward Councillor	Diwani wa Kata	elected						no	low	needs_review	https://media.tanzlii.org/media/legislation/316204/source_file/77e1e9a6b6ecb9fb/1982-8.pdf
GPOST_ward-arusha-city-council-lemara_ward_community_development_officer	GOFF_ward_arusha-city-council_lemara	Ofisi ya Kata ya Lemara (Arusha City Council)	ward_community_development_officer	Ward Community Development Officer	Afisa Maendeleo ya Jamii wa Kata	civil_service						no	low	needs_review	https://media.tanzlii.org/media/legislation/316204/source_file/77e1e9a6b6ecb9fb/1982-8.pdf
GPOST_ward-arusha-city-council-terrat_ward_executive_officer	GOFF_ward_arusha-city-council_terrat	Ofisi ya Kata ya Terrat (Arusha City Council)	ward_executive_officer	Ward Executive Officer (WEO)	Afisa Mtendaji wa Kata	civil_service						no	low	needs_review	https://media.tanzlii.org/media/legislation/316204/source_file/77e1e9a6b6ecb9fb/1982-8.pdf
GPOST_ward-arusha-city-council-terrat_ward_councillor	GOFF_ward_arusha-city-council_terrat	Ofisi ya Kata ya Terrat (Arusha City Council)	ward_councillor	Ward Councillor	Diwani wa Kata	elected						no	low	needs_review	https://media.tanzlii.org/media/legislation/316204/source_file/77e1e9a6b6ecb9fb/1982-8.pdf
GPOST_ward-arusha-city-council-terrat_ward_community_development_officer	GOFF_ward_arusha-city-council_terrat	Ofisi ya Kata ya Terrat (Arusha City Council)	ward_community_development_officer	Ward Community Development Officer	Afisa Maendeleo ya Jamii wa Kata	civil_service						no	low	needs_review	https://media.tanzlii.org/media/legislation/316204/source_file/77e1e9a6b6ecb9fb/1982-8.pdf
GPOST_ward-arusha-city-council-sokon-1_ward_executive_officer	GOFF_ward_arusha-city-council_sokon-1	Ofisi ya Kata ya Sokon I (Arusha City Council)	ward_executive_officer	Ward Executive Officer (WEO)	Afisa Mtendaji wa Kata	civil_service						no	low	needs_review	https://media.tanzlii.org/media/legislation/316204/source_file/77e1e9a6b6ecb9fb/1982-8.pdf
GPOST_ward-arusha-city-council-sokon-1_ward_councillor	GOFF_ward_arusha-city-council_sokon-1	Ofisi ya Kata ya Sokon I (Arusha City Council)	ward_councillor	Ward Councillor	Diwani wa Kata	elected						no	low	needs_review	https://media.tanzlii.org/media/legislation/316204/source_file/77e1e9a6b6ecb9fb/1982-8.pdf
GPOST_ward-arusha-city-council-sokon-1_ward_community_development_officer	GOFF_ward_arusha-city-council_sokon-1	Ofisi ya Kata ya Sokon I (Arusha City Council)	ward_community_development_officer	Ward Community Development Officer	Afisa Maendeleo ya Jamii wa Kata	civil_service						no	low	needs_review	https://media.tanzlii.org/media/legislation/316204/source_file/77e1e9a6b6ecb9fb/1982-8.pdf
GPOST_ward-arusha-city-council-sombetini_ward_executive_officer	GOFF_ward_arusha-city-council_sombetini	Ofisi ya Kata ya Sombetini (Arusha City Council)	ward_executive_officer	Ward Executive Officer (WEO)	Afisa Mtendaji wa Kata	civil_service						no	low	needs_review	https://media.tanzlii.org/media/legislation/316204/source_file/77e1e9a6b6ecb9fb/1982-8.pdf
GPOST_ward-arusha-city-council-sombetini_ward_councillor	GOFF_ward_arusha-city-council_sombetini	Ofisi ya Kata ya Sombetini (Arusha City Council)	ward_councillor	Ward Councillor	Diwani wa Kata	elected						no	low	needs_review	https://media.tanzlii.org/media/legislation/316204/source_file/77e1e9a6b6ecb9fb/1982-8.pdf
GPOST_ward-arusha-city-council-sombetini_ward_community_development_officer	GOFF_ward_arusha-city-council_sombetini	Ofisi ya Kata ya Sombetini (Arusha City Council)	ward_community_development_officer	Ward Community Development Officer	Afisa Maendeleo ya Jamii wa Kata	civil_service						no	low	needs_review	https://media.tanzlii.org/media/legislation/316204/source_file/77e1e9a6b6ecb9fb/1982-8.pdf
GPOST_ward-arusha-city-council-engutoto_ward_executive_officer	GOFF_ward_arusha-city-council_engutoto	Ofisi ya Kata ya Engutoto (Arusha City Council)	ward_executive_officer	Ward Executive Officer (WEO)	Afisa Mtendaji wa Kata	civil_service						no	low	needs_review	https://media.tanzlii.org/media/legislation/316204/source_file/77e1e9a6b6ecb9fb/1982-8.pdf
GPOST_ward-arusha-city-council-engutoto_ward_councillor	GOFF_ward_arusha-city-council_engutoto	Ofisi ya Kata ya Engutoto (Arusha City Council)	ward_councillor	Ward Councillor	Diwani wa Kata	elected						no	low	needs_review	https://media.tanzlii.org/media/legislation/316204/source_file/77e1e9a6b6ecb9fb/1982-8.pdf
GPOST_ward-arusha-city-council-engutoto_ward_community_development_officer	GOFF_ward_arusha-city-council_engutoto	Ofisi ya Kata ya Engutoto (Arusha City Council)	ward_community_development_officer	Ward Community Development Officer	Afisa Maendeleo ya Jamii wa Kata	civil_service						no	low	needs_review	https://media.tanzlii.org/media/legislation/316204/source_file/77e1e9a6b6ecb9fb/1982-8.pdf
GPOST_ward-arusha-city-council-elerai_ward_executive_officer	GOFF_ward_arusha-city-council_elerai	Ofisi ya Kata ya Elerai (Arusha City Council)	ward_executive_officer	Ward Executive Officer (WEO)	Afisa Mtendaji wa Kata	civil_service						no	low	needs_review	https://media.tanzlii.org/media/legislation/316204/source_file/77e1e9a6b6ecb9fb/1982-8.pdf
GPOST_ward-arusha-city-council-elerai_ward_councillor	GOFF_ward_arusha-city-council_elerai	Ofisi ya Kata ya Elerai (Arusha City Council)	ward_councillor	Ward Councillor	Diwani wa Kata	elected						no	low	needs_review	https://media.tanzlii.org/media/legislation/316204/source_file/77e1e9a6b6ecb9fb/1982-8.pdf
GPOST_ward-arusha-city-council-elerai_ward_community_development_officer	GOFF_ward_arusha-city-council_elerai	Ofisi ya Kata ya Elerai (Arusha City Council)	ward_community_development_officer	Ward Community Development Officer	Afisa Maendeleo ya Jamii wa Kata	civil_service						no	low	needs_review	https://media.tanzlii.org/media/legislation/316204/source_file/77e1e9a6b6ecb9fb/1982-8.pdf
GPOST_ward-arusha-city-council-olasiti_ward_executive_officer	GOFF_ward_arusha-city-council_olasiti	Ofisi ya Kata ya Olasiti (Arusha City Council)	ward_executive_officer	Ward Executive Officer (WEO)	Afisa Mtendaji wa Kata	civil_service						no	low	needs_review	https://media.tanzlii.org/media/legislation/316204/source_file/77e1e9a6b6ecb9fb/1982-8.pdf
GPOST_ward-arusha-city-council-olasiti_ward_councillor	GOFF_ward_arusha-city-council_olasiti	Ofisi ya Kata ya Olasiti (Arusha City Council)	ward_councillor	Ward Councillor	Diwani wa Kata	elected						no	low	needs_review	https://media.tanzlii.org/media/legislation/316204/source_file/77e1e9a6b6ecb9fb/1982-8.pdf
GPOST_ward-arusha-city-council-olasiti_ward_community_development_officer	GOFF_ward_arusha-city-council_olasiti	Ofisi ya Kata ya Olasiti (Arusha City Council)	ward_community_development_officer	Ward Community Development Officer	Afisa Maendeleo ya Jamii wa Kata	civil_service						no	low	needs_review	https://media.tanzlii.org/media/legislation/316204/source_file/77e1e9a6b6ecb9fb/1982-8.pdf
GPOST_ward-arusha-city-council-muriet_ward_executive_officer	GOFF_ward_arusha-city-council_muriet	Ofisi ya Kata ya Muriet (Arusha City Council)	ward_executive_officer	Ward Executive Officer (WEO)	Afisa Mtendaji wa Kata	civil_service						no	low	needs_review	https://media.tanzlii.org/media/legislation/316204/source_file/77e1e9a6b6ecb9fb/1982-8.pdf
GPOST_ward-arusha-city-council-muriet_ward_councillor	GOFF_ward_arusha-city-council_muriet	Ofisi ya Kata ya Muriet (Arusha City Council)	ward_councillor	Ward Councillor	Diwani wa Kata	elected						no	low	needs_review	https://media.tanzlii.org/media/legislation/316204/source_file/77e1e9a6b6ecb9fb/1982-8.pdf
GPOST_ward-arusha-city-council-muriet_ward_community_development_officer	GOFF_ward_arusha-city-council_muriet	Ofisi ya Kata ya Muriet (Arusha City Council)	ward_community_development_officer	Ward Community Development Officer	Afisa Maendeleo ya Jamii wa Kata	civil_service						no	low	needs_review	https://media.tanzlii.org/media/legislation/316204/source_file/77e1e9a6b6ecb9fb/1982-8.pdf
GPOST_ward-arusha-city-council-olmoti_ward_executive_officer	GOFF_ward_arusha-city-council_olmoti	Ofisi ya Kata ya Olmoti (Arusha City Council)	ward_executive_officer	Ward Executive Officer (WEO)	Afisa Mtendaji wa Kata	civil_service						no	low	needs_review	https://media.tanzlii.org/media/legislation/316204/source_file/77e1e9a6b6ecb9fb/1982-8.pdf
GPOST_ward-arusha-city-council-olmoti_ward_councillor	GOFF_ward_arusha-city-council_olmoti	Ofisi ya Kata ya Olmoti (Arusha City Council)	ward_councillor	Ward Councillor	Diwani wa Kata	elected						no	low	needs_review	https://media.tanzlii.org/media/legislation/316204/source_file/77e1e9a6b6ecb9fb/1982-8.pdf
GPOST_ward-arusha-city-council-olmoti_ward_community_development_officer	GOFF_ward_arusha-city-council_olmoti	Ofisi ya Kata ya Olmoti (Arusha City Council)	ward_community_development_officer	Ward Community Development Officer	Afisa Maendeleo ya Jamii wa Kata	civil_service						no	low	needs_review	https://media.tanzlii.org/media/legislation/316204/source_file/77e1e9a6b6ecb9fb/1982-8.pdf
GPOST_ward-arusha-city-council-sakina_ward_executive_officer	GOFF_ward_arusha-city-council_sakina	Ofisi ya Kata ya Sakina (Arusha City Council)	ward_executive_officer	Ward Executive Officer (WEO)	Afisa Mtendaji wa Kata	civil_service						no	low	needs_review	https://media.tanzlii.org/media/legislation/316204/source_file/77e1e9a6b6ecb9fb/1982-8.pdf
GPOST_ward-arusha-city-council-sakina_ward_councillor	GOFF_ward_arusha-city-council_sakina	Ofisi ya Kata ya Sakina (Arusha City Council)	ward_councillor	Ward Councillor	Diwani wa Kata	elected						no	low	needs_review	https://media.tanzlii.org/media/legislation/316204/source_file/77e1e9a6b6ecb9fb/1982-8.pdf
GPOST_ward-arusha-city-council-sakina_ward_community_development_officer	GOFF_ward_arusha-city-council_sakina	Ofisi ya Kata ya Sakina (Arusha City Council)	ward_community_development_officer	Ward Community Development Officer	Afisa Maendeleo ya Jamii wa Kata	civil_service						no	low	needs_review	https://media.tanzlii.org/media/legislation/316204/source_file/77e1e9a6b6ecb9fb/1982-8.pdf
GPOST_ward-arusha-city-council-osunyai-jr_ward_executive_officer	GOFF_ward_arusha-city-council_osunyai-jr	Ofisi ya Kata ya Osunyai Jr (Arusha City Council)	ward_executive_officer	Ward Executive Officer (WEO)	Afisa Mtendaji wa Kata	civil_service						no	low	needs_review	https://media.tanzlii.org/media/legislation/316204/source_file/77e1e9a6b6ecb9fb/1982-8.pdf
GPOST_ward-arusha-city-council-osunyai-jr_ward_councillor	GOFF_ward_arusha-city-council_osunyai-jr	Ofisi ya Kata ya Osunyai Jr (Arusha City Council)	ward_councillor	Ward Councillor	Diwani wa Kata	elected						no	low	needs_review	https://media.tanzlii.org/media/legislation/316204/source_file/77e1e9a6b6ecb9fb/1982-8.pdf
GPOST_ward-arusha-city-council-osunyai-jr_ward_community_development_officer	GOFF_ward_arusha-city-council_osunyai-jr	Ofisi ya Kata ya Osunyai Jr (Arusha City Council)	ward_community_development_officer	Ward Community Development Officer	Afisa Maendeleo ya Jamii wa Kata	civil_service						no	low	needs_review	https://media.tanzlii.org/media/legislation/316204/source_file/77e1e9a6b6ecb9fb/1982-8.pdf
GPOST_ward-arusha-city-council-sinoni_ward_executive_officer	GOFF_ward_arusha-city-council_sinoni	Ofisi ya Kata ya Sinoni (Arusha City Council)	ward_executive_officer	Ward Executive Officer (WEO)	Afisa Mtendaji wa Kata	civil_service						no	low	needs_review	https://media.tanzlii.org/media/legislation/316204/source_file/77e1e9a6b6ecb9fb/1982-8.pdf
GPOST_ward-arusha-city-council-sinoni_ward_councillor	GOFF_ward_arusha-city-council_sinoni	Ofisi ya Kata ya Sinoni (Arusha City Council)	ward_councillor	Ward Councillor	Diwani wa Kata	elected						no	low	needs_review	https://media.tanzlii.org/media/legislation/316204/source_file/77e1e9a6b6ecb9fb/1982-8.pdf
GPOST_ward-arusha-city-council-sinoni_ward_community_development_officer	GOFF_ward_arusha-city-council_sinoni	Ofisi ya Kata ya Sinoni (Arusha City Council)	ward_community_development_officer	Ward Community Development Officer	Afisa Maendeleo ya Jamii wa Kata	civil_service						no	low	needs_review	https://media.tanzlii.org/media/legislation/316204/source_file/77e1e9a6b6ecb9fb/1982-8.pdf
GPOST_ward-arusha-district-council-lengijave_ward_executive_officer	GOFF_ward_arusha-district-council_lengijave	Ofisi ya Kata ya Lengijave (Arusha District Council)	ward_executive_officer	Ward Executive Officer (WEO)	Afisa Mtendaji wa Kata	civil_service						no	low	needs_review	https://tanzlii.org/akn/tz/act/1982/7/eng@2002-07-31/source
GPOST_ward-arusha-district-council-lengijave_ward_councillor	GOFF_ward_arusha-district-council_lengijave	Ofisi ya Kata ya Lengijave (Arusha District Council)	ward_councillor	Ward Councillor	Diwani wa Kata	elected	ISMAIL LOIBANGUTI MOLLEL	2026-09-23	http://arushadc.go.tz/minio/arushadc.go.tz/attachments/1773295393392-Madiwani%20HW%20Arusha%202025-30.pdf	+255763783750		no	medium	needs_review	http://arushadc.go.tz/minio/arushadc.go.tz/attachments/1773295393392-Madiwani%20HW%20Arusha%202025-30.pdf
GPOST_ward-arusha-district-council-lengijave_ward_community_development_officer	GOFF_ward_arusha-district-council_lengijave	Ofisi ya Kata ya Lengijave (Arusha District Council)	ward_community_development_officer	Ward Community Development Officer	Afisa Maendeleo ya Jamii wa Kata	civil_service						no	low	needs_review	https://tanzlii.org/akn/tz/act/1982/7/eng@2002-07-31/source
GPOST_ward-arusha-district-council-olturumet_ward_executive_officer	GOFF_ward_arusha-district-council_olturumet	Ofisi ya Kata ya Olturumet (Arusha District Council)	ward_executive_officer	Ward Executive Officer (WEO)	Afisa Mtendaji wa Kata	civil_service						no	low	needs_review	https://tanzlii.org/akn/tz/act/1982/7/eng@2002-07-31/source
GPOST_ward-arusha-district-council-olturumet_ward_councillor	GOFF_ward_arusha-district-council_olturumet	Ofisi ya Kata ya Olturumet (Arusha District Council)	ward_councillor	Ward Councillor	Diwani wa Kata	elected	JOSEPH TINAYO MENDASA	2026-09-23	http://arushadc.go.tz/minio/arushadc.go.tz/attachments/1773295393392-Madiwani%20HW%20Arusha%202025-30.pdf	+255756971997		no	medium	needs_review	http://arushadc.go.tz/minio/arushadc.go.tz/attachments/1773295393392-Madiwani%20HW%20Arusha%202025-30.pdf
GPOST_ward-arusha-district-council-olturumet_ward_community_development_officer	GOFF_ward_arusha-district-council_olturumet	Ofisi ya Kata ya Olturumet (Arusha District Council)	ward_community_development_officer	Ward Community Development Officer	Afisa Maendeleo ya Jamii wa Kata	civil_service						no	low	needs_review	https://tanzlii.org/akn/tz/act/1982/7/eng@2002-07-31/source
GPOST_ward-arusha-district-council-mwandet_ward_executive_officer	GOFF_ward_arusha-district-council_mwandet	Ofisi ya Kata ya Mwandet (Arusha District Council)	ward_executive_officer	Ward Executive Officer (WEO)	Afisa Mtendaji wa Kata	civil_service						no	low	needs_review	https://tanzlii.org/akn/tz/act/1982/7/eng@2002-07-31/source
GPOST_ward-arusha-district-council-mwandet_ward_councillor	GOFF_ward_arusha-district-council_mwandet	Ofisi ya Kata ya Mwandet (Arusha District Council)	ward_councillor	Ward Councillor	Diwani wa Kata	elected	LOGOLIE MASAADAWA LUKUMAY	2026-09-23	http://arushadc.go.tz/minio/arushadc.go.tz/attachments/1773295393392-Madiwani%20HW%20Arusha%202025-30.pdf	+255755577413		no	medium	needs_review	http://arushadc.go.tz/minio/arushadc.go.tz/attachments/1773295393392-Madiwani%20HW%20Arusha%202025-30.pdf
GPOST_ward-arusha-district-council-mwandet_ward_community_development_officer	GOFF_ward_arusha-district-council_mwandet	Ofisi ya Kata ya Mwandet (Arusha District Council)	ward_community_development_officer	Ward Community Development Officer	Afisa Maendeleo ya Jamii wa Kata	civil_service						no	low	needs_review	https://tanzlii.org/akn/tz/act/1982/7/eng@2002-07-31/source
GPOST_ward-arusha-district-council-musa_ward_executive_officer	GOFF_ward_arusha-district-council_musa	Ofisi ya Kata ya Musa (Arusha District Council)	ward_executive_officer	Ward Executive Officer (WEO)	Afisa Mtendaji wa Kata	civil_service						no	low	needs_review	https://tanzlii.org/akn/tz/act/1982/7/eng@2002-07-31/source
GPOST_ward-arusha-district-council-musa_ward_councillor	GOFF_ward_arusha-district-council_musa	Ofisi ya Kata ya Musa (Arusha District Council)	ward_councillor	Ward Councillor	Diwani wa Kata	elected	WILSON PELLO KIVUYO	2026-09-23	http://arushadc.go.tz/minio/arushadc.go.tz/attachments/1773295393392-Madiwani%20HW%20Arusha%202025-30.pdf	+255767958033		no	medium	needs_review	http://arushadc.go.tz/minio/arushadc.go.tz/attachments/1773295393392-Madiwani%20HW%20Arusha%202025-30.pdf
GPOST_ward-arusha-district-council-musa_ward_community_development_officer	GOFF_ward_arusha-district-council_musa	Ofisi ya Kata ya Musa (Arusha District Council)	ward_community_development_officer	Ward Community Development Officer	Afisa Maendeleo ya Jamii wa Kata	civil_service						no	low	needs_review	https://tanzlii.org/akn/tz/act/1982/7/eng@2002-07-31/source
GPOST_ward-arusha-district-council-kisongo_ward_executive_officer	GOFF_ward_arusha-district-council_kisongo	Ofisi ya Kata ya Kisongo (Arusha District Council)	ward_executive_officer	Ward Executive Officer (WEO)	Afisa Mtendaji wa Kata	civil_service						no	low	needs_review	https://tanzlii.org/akn/tz/act/1982/7/eng@2002-07-31/source
